"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","04A9D1612E3DED9C5122763843797B717DAB","",""
"cert_serialNumberLen","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","18","",""
"cert_fingerprintSHA1","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","8865FF3864DB648CB4B410BABEE7B77AD4641D19","",""
"cert_fingerprintSHA256","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","7CC0781CC9012C07B59C92953B9FB4642892D5DC3ED82F56CC1C3F1A07766A01","",""
"cert","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGDzCCBPegAwIBAgISBKnRYS497ZxRInY4Q3l7cX2rMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzEyMTIxMjUzNTBaFw0yNDAzMTExMjUzNDlaMCwxKjAoBgNVBAMTIWRlZmF1bHQucGhpNjcuemQtZXN0LnByZWYuZ291di5mcjCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBAOtuzGoaOM4doIrmB0W3EWoXcpy+pijc9GBairb74fXdemMBYca/rDnMxArFAlcqJpvaklK48BvYu06yxskQvd5ZymnGAGdCje72sFtnF/S1LKYvgZ2rL7tRnwQx/DApz2pysCB3zN5xTgacKi5m1E+WOIP+jiuWgeGpKf3abCOtRzBwUlVRCcrviv7dX84D+I+zF1obgbtRqU2UUOj6+6QBTnvGOM1j/jdxT3gs7Btp1yyieGISBfgclfeDbAAB6hKqYESjoX+Hcln42ZmGsW7SdxtNITSIbXKgLYaVQqBU9JkRr1hJFWJb8Vv60Hlvx/3vTymZnaUPOzB1hsi1v0BovhG6SIKNGDp7+88asyoHmMRX6bdP26bS36ac9eMdEvAOORIa4u3O4lgCGzUaUqTpI4wYzDbnvOTgG7Aakoc+FsPX5dpGqoqfgNMTRgSYswZMneHGQ2SFqRaBXbP62i0zsImSVH0rceTYRNSp+UxNscMn3iAPQM2/8lTaZNJRrnF0hBRY55ZEShuQ4HW1CupeDTgNL4aX4MGBV8UmvqWkcXV3W24/mmKBm93VbKUwWZkBcnMHq2p/l9KFdxziYzStzS0A7zo5wGR5CemtZzTvIQXeCTZa83DEGEok+jD5OSRwRqS0mVuF7A9z0u/3h48S0e19Esy+zTcq+fLQHVpZAgMBAAGjggIjMIICHzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFIzb0/IAcMVE00N6BzxxO6cAQnWQMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMCwGA1UdEQQlMCOCIWRlZmF1bHQucGhpNjcuemQtZXN0LnByZWYuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB3AEiw42vapkc0D+VqAvqdMOscUgHLVt0sgdm7v6s52IRzAAABjF5OLccAAAQDAEgwRgIhAI7+osMz1W8goZSy79QJwSLRWN0a9eH2uszz08kYGc4RAiEA01rbBfOhvvEjfyIgzV4trM8cLD31Ltdpmy5kbc5YUZ8AdQA7U3d1Pi25gE6LMFsG/kA7Z9hPw/THvQANLXJv4frUFwAAAYxeTi3DAAAEAwBGMEQCIGga6untKPZaH+5EJXyOklRKU2zBGZ9v8Dowzxv6U+l8AiATWpK01bz7SZjzEglRENtMfx/G3rYvcrsKfmQQ1/YCJDANBgkqhkiG9w0BAQsFAAOCAQEAkLgHpqotYo2/eC91CYN2Twj8fo/RExoB5Jjecwac2Mo68yJMKPz9XICH67DojXvAWbO2xIA2PqLO905T7UcN3kZ4aKQeNxUq5309G99pUI9A4dz1S9XFRYHJg8vNZlWt+LfRxeRC3dulpXijB3olq9DGIUQPenc6A1COUXEOOx87DRypvmpZw1TYux59+FkaMZwEwMqTZYQM+QKgIDFdsOSG3qRZdj/OGYCSzmd2/MDh/5inLsTI1L7ojRgeVHDh21FjfB88ezKwFHKY/7izcUQr5kqt/xyyezvi0LaukYLPzR0fzV7XJQrhToTKhejRaa0IZzBB5BfAZN3pj9umkw==\n-----END CERTIFICATE-----","",""
"cert_commonName","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","default.phi67.zd-est.pref.gouv.fr","",""
"cert_commonName_wo_SNI","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_trust","midi-pyrenees.gouv.fr/77.159.252.140","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","midi-pyrenees.gouv.fr/77.159.252.140","443","MEDIUM","expires < 30 days (23)","",""
"cert_notBefore","midi-pyrenees.gouv.fr/77.159.252.140","443","INFO","2023-12-12 12:53","",""
"cert_notAfter","midi-pyrenees.gouv.fr/77.159.252.140","443","MEDIUM","2024-03-11 12:53","",""
"cert_extlifeSpan","midi-pyrenees.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
