"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","autisme.gouv.fr/185.194.82.27","443","INFO","HTTP","",""
"pre_128cipher","autisme.gouv.fr/185.194.82.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","autisme.gouv.fr/185.194.82.27","443","OK","not offered","",""
"SSLv3","autisme.gouv.fr/185.194.82.27","443","OK","not offered","",""
"TLS1","autisme.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_1","autisme.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"TLS1_2","autisme.gouv.fr/185.194.82.27","443","OK","offered","",""
"TLS1_3","autisme.gouv.fr/185.194.82.27","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","autisme.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_NULL","autisme.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","autisme.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","autisme.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","autisme.gouv.fr/185.194.82.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","autisme.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","autisme.gouv.fr/185.194.82.27","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","autisme.gouv.fr/185.194.82.27","443","INFO","not offered","",""
"cipherlist_STRONG_FS","autisme.gouv.fr/185.194.82.27","443","OK","offered","",""
"cipher_order-tls1_2","autisme.gouv.fr/185.194.82.27","443","OK","server","",""
"cipherorder_TLSv1_2","autisme.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","autisme.gouv.fr/185.194.82.27","443","OK","server","",""
"FS","autisme.gouv.fr/185.194.82.27","443","OK","offered","",""
"FS_ciphers","autisme.gouv.fr/185.194.82.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","autisme.gouv.fr/185.194.82.27","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","autisme.gouv.fr/185.194.82.27","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","autisme.gouv.fr/185.194.82.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","autisme.gouv.fr/185.194.82.27","443","INFO","yes","",""
"sessionresumption_ticket","autisme.gouv.fr/185.194.82.27","443","INFO","not supported","",""
"sessionresumption_ID","autisme.gouv.fr/185.194.82.27","443","INFO","supported","",""
"TLS_timestamp","autisme.gouv.fr/185.194.82.27","443","INFO","random","",""
"cert_compression","autisme.gouv.fr/185.194.82.27","443","INFO","N/A","",""
"clientAuth","autisme.gouv.fr/185.194.82.27","443","INFO","none","",""
"cert_numbers","autisme.gouv.fr/185.194.82.27","443","INFO","1","",""
"cert_signatureAlgorithm","autisme.gouv.fr/185.194.82.27","443","OK","SHA256 with RSA","",""
"cert_keySize","autisme.gouv.fr/185.194.82.27","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","autisme.gouv.fr/185.194.82.27","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","autisme.gouv.fr/185.194.82.27","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","autisme.gouv.fr/185.194.82.27","443","INFO","D0BD408B688CEB53A8CD6D9236D51796","",""
"cert_serialNumberLen","autisme.gouv.fr/185.194.82.27","443","INFO","16","",""
"cert_fingerprintSHA1","autisme.gouv.fr/185.194.82.27","443","INFO","353BE27CA47F803A6769A0180068F10443503BA0","",""
"cert_fingerprintSHA256","autisme.gouv.fr/185.194.82.27","443","INFO","EB3CF7A612805991B62EA30752D01B6A051581E4192B7323AC384E06EEEC233B","",""
