"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","anlci.gouv.fr/5.39.65.54","443","INFO","HTTP","",""
"pre_128cipher","anlci.gouv.fr/5.39.65.54","443","INFO","No 128 cipher limit bug","",""
"SSLv2","anlci.gouv.fr/5.39.65.54","443","HIGH","offered, no cipher","CVE-2015-3197","CWE-310"
"SSLv3","anlci.gouv.fr/5.39.65.54","443","HIGH","offered","",""
"TLS1","anlci.gouv.fr/5.39.65.54","443","LOW","offered (deprecated)","",""
"TLS1_1","anlci.gouv.fr/5.39.65.54","443","LOW","offered (deprecated)","",""
"TLS1_2","anlci.gouv.fr/5.39.65.54","443","OK","offered","",""
"TLS1_3","anlci.gouv.fr/5.39.65.54","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","anlci.gouv.fr/5.39.65.54","443","INFO","not offered","",""
"cipherlist_NULL","anlci.gouv.fr/5.39.65.54","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","anlci.gouv.fr/5.39.65.54","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","anlci.gouv.fr/5.39.65.54","443","OK","not offered","","CWE-327"
"cipherlist_LOW","anlci.gouv.fr/5.39.65.54","443","HIGH","offered","","CWE-327"
"cipherlist_3DES_IDEA","anlci.gouv.fr/5.39.65.54","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","anlci.gouv.fr/5.39.65.54","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","anlci.gouv.fr/5.39.65.54","443","OK","offered","",""
"cipherlist_STRONG_FS","anlci.gouv.fr/5.39.65.54","443","OK","offered","",""
"cipher_order-ssl3","anlci.gouv.fr/5.39.65.54","443","INFO","NOT a cipher order configured","",""
"cipher-ssl3_xc014","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-ssl3_x39","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-ssl3_x88","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-ssl3_x35","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-ssl3_x84","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-ssl3_xc013","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-ssl3_x33","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-ssl3_x9a","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x9a     DHE-RSA-SEED-SHA                  DH 2048    SEED        128      TLS_DHE_RSA_WITH_SEED_CBC_SHA","",""
"cipher-ssl3_x45","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x45     DHE-RSA-CAMELLIA128-SHA           DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-ssl3_x2f","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-ssl3_x96","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x96     SEED-SHA                          RSA        SEED        128      TLS_RSA_WITH_SEED_CBC_SHA","",""
"cipher-ssl3_x41","anlci.gouv.fr/5.39.65.54","443","LOW","SSLv3   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-ssl3_x07","anlci.gouv.fr/5.39.65.54","443","MEDIUM","SSLv3   x07     IDEA-CBC-SHA                      RSA        IDEA        128      TLS_RSA_WITH_IDEA_CBC_SHA","",""
"cipher-ssl3_xc011","anlci.gouv.fr/5.39.65.54","443","HIGH","SSLv3   xc011   ECDHE-RSA-RC4-SHA                 ECDH 256   RC4         128      TLS_ECDHE_RSA_WITH_RC4_128_SHA","",""
