"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","HTTP","",""
"pre_128cipher","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","No 128 cipher limit bug","",""
"SSLv2","permisdeconduire.gouv.fr/195.64.164.87","443","OK","not offered","",""
"SSLv3","permisdeconduire.gouv.fr/195.64.164.87","443","OK","not offered","",""
"TLS1","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","not offered","",""
"TLS1_1","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","not offered","",""
"TLS1_2","permisdeconduire.gouv.fr/195.64.164.87","443","OK","offered","",""
"TLS1_3","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","not offered","",""
"cipherlist_NULL","permisdeconduire.gouv.fr/195.64.164.87","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","permisdeconduire.gouv.fr/195.64.164.87","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","permisdeconduire.gouv.fr/195.64.164.87","443","OK","not offered","","CWE-327"
"cipherlist_LOW","permisdeconduire.gouv.fr/195.64.164.87","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","permisdeconduire.gouv.fr/195.64.164.87","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","not offered","",""
"cipherlist_STRONG_FS","permisdeconduire.gouv.fr/195.64.164.87","443","OK","offered","",""
"cipher_order-tls1_2","permisdeconduire.gouv.fr/195.64.164.87","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","permisdeconduire.gouv.fr/195.64.164.87","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
