"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","HTTP","",""
"pre_128cipher","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","",""
"SSLv3","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","",""
"TLS1","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not offered","",""
"TLS1_1","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not offered","",""
"TLS1_2","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","offered","",""
"TLS1_3","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","h2","",""
"ALPN","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","http/1.1","",""
"cipherlist_NULL","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","offered","",""
"cipherlist_STRONG_FS","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","offered","",""
"cipher_order-tls1_2","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","server","",""
"cipherorder_TLSv1_2","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","server","",""
"FS","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","offered","",""
"FS_ciphers","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","yes","",""
"sessionresumption_ticket","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","supported","",""
"sessionresumption_ID","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","not supported","",""
"TLS_timestamp","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","random","",""
"cert_compression","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","N/A","",""
"clientAuth","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","none","",""
"cert_numbers","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","1","",""
"cert_signatureAlgorithm","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","OK","SHA384 with RSA","",""
"cert_keySize","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","27BEFA289DA57732A289AEA330CCDFF5","",""
"cert_serialNumberLen","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","16","",""
"cert_fingerprintSHA1","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","FD7872E8D17E815AD367F3886C15612FB5AC492C","",""
"cert_fingerprintSHA256","www.centre-documentation-spm.gouv.fr/195.154.54.74","443","INFO","AD2E0AF1D3F5C701FB079FE1069D27522E6347FF7DC3AFA0D61A0D3960E621EB","",""
