"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","tarn-et-garonne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","6F304F3089788C56F0A1B18107BE2902","",""
"cert_serialNumberLen","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","7CBED4C31E066F85C59827AAAC8D0B8B7136631A","",""
"cert_fingerprintSHA256","tarn-et-garonne.gouv.fr/77.159.252.140","443","INFO","F32DDEEE700B0AC4FBB4737D05CD1FDB04B259C9A83CD7699F1F60E627242D07","",""
