"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","var.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","var.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","var.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","var.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","var.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","var.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","var.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","var.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","var.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","var.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","var.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","var.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","var.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","var.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","var.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","var.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","var.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","var.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","var.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","var.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","var.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","var.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","var.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","var.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","var.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","var.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","var.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","var.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","var.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","var.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","var.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","var.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","var.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","var.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","var.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","var.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","var.gouv.fr/77.159.252.140","443","INFO","D902A236C3D8622162DE8DA58CAC4902","",""
"cert_serialNumberLen","var.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","var.gouv.fr/77.159.252.140","443","INFO","2C64E597466398C74C0024A6004D6A37F1B930DA","",""
"cert_fingerprintSHA256","var.gouv.fr/77.159.252.140","443","INFO","0377C93DDA51CC4E037DBB2E1C5427C447E4DC46B2BEE9542278DEF889B50DC0","",""
