"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","vendee.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","vendee.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","vendee.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","vendee.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","vendee.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","vendee.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","vendee.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","vendee.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","vendee.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","vendee.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","vendee.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","vendee.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","vendee.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","vendee.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","vendee.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","vendee.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","vendee.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","vendee.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","vendee.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","vendee.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","vendee.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","vendee.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","vendee.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","vendee.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","vendee.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","vendee.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","vendee.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","vendee.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","vendee.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","vendee.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","vendee.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","vendee.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","vendee.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
