"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","voeux2022.gouv.fr/217.70.184.55","443","INFO","HTTP","",""
"pre_128cipher","voeux2022.gouv.fr/217.70.184.55","443","INFO","No 128 cipher limit bug","",""
"SSLv2","voeux2022.gouv.fr/217.70.184.55","443","OK","not offered","",""
"SSLv3","voeux2022.gouv.fr/217.70.184.55","443","OK","not offered","",""
"TLS1","voeux2022.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_1","voeux2022.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_2","voeux2022.gouv.fr/217.70.184.55","443","OK","offered","",""
"TLS1_3","voeux2022.gouv.fr/217.70.184.55","443","OK","offered with final","",""
"ALPN","voeux2022.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_NULL","voeux2022.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","voeux2022.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","voeux2022.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_LOW","voeux2022.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","voeux2022.gouv.fr/217.70.184.55","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","voeux2022.gouv.fr/217.70.184.55","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","voeux2022.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_STRONG_FS","voeux2022.gouv.fr/217.70.184.55","443","OK","offered","",""
"cipher_order-tls1_2","voeux2022.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","voeux2022.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","voeux2022.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","voeux2022.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","voeux2022.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","voeux2022.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","voeux2022.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"FS","voeux2022.gouv.fr/217.70.184.55","443","OK","offered","",""
"FS_ciphers","voeux2022.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","voeux2022.gouv.fr/217.70.184.55","443","OK","prime256v1","",""
"TLS_extensions","voeux2022.gouv.fr/217.70.184.55","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","voeux2022.gouv.fr/217.70.184.55","443","INFO","valid for 299 seconds only (<daily)","",""
"SSL_sessionID_support","voeux2022.gouv.fr/217.70.184.55","443","INFO","yes","",""
"sessionresumption_ticket","voeux2022.gouv.fr/217.70.184.55","443","INFO","supported","",""
"sessionresumption_ID","voeux2022.gouv.fr/217.70.184.55","443","INFO","not supported","",""
"TLS_timestamp","voeux2022.gouv.fr/217.70.184.55","443","INFO","random","",""
"certificate_compression","voeux2022.gouv.fr/217.70.184.55","443","INFO","none","",""
"clientAuth","voeux2022.gouv.fr/217.70.184.55","443","INFO","none","",""
"cert_numbers","voeux2022.gouv.fr/217.70.184.55","443","INFO","1","",""
"cert_signatureAlgorithm","voeux2022.gouv.fr/217.70.184.55","443","OK","SHA384 with RSA","",""
"cert_keySize","voeux2022.gouv.fr/217.70.184.55","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","voeux2022.gouv.fr/217.70.184.55","443","INFO","Digital Signature","",""
"cert_extKeyUsage","voeux2022.gouv.fr/217.70.184.55","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","voeux2022.gouv.fr/217.70.184.55","443","INFO","5E7D96A7684E303B289EF10B5E9140D5","",""
"cert_serialNumberLen","voeux2022.gouv.fr/217.70.184.55","443","INFO","16","",""
"cert_fingerprintSHA1","voeux2022.gouv.fr/217.70.184.55","443","INFO","EDFDB822436CAA95E41F13FBEA37BF3C1F6A51DA","",""
"cert_fingerprintSHA256","voeux2022.gouv.fr/217.70.184.55","443","INFO","30BEF3E9E8238E84900BAB1838C0B91988B776DB7C778FCAB4031C0EB5DED12C","",""
"cert","voeux2022.gouv.fr/217.70.184.55","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFpjCCBA6gAwIBAgIQXn2Wp2hOMDsonvELXpFA1TANBgkqhkiG9w0BAQwFADBWMQswCQYDVQQGEwJGUjEOMAwGA1UEChMFR2FuZGkxNzA1BgNVBAMTLkdhbmRpIFJTQSBEb21haW4gVmFsaWRhdGlvbiBTZWN1cmUgU2VydmVyIENBIDMwHhcNMjMxMTA4MDAwMDAwWhcNMjQxMjA3MjM1OTU5WjAcMRowGAYDVQQDExF2b2V1eDIwMjIuZ291di5mcjBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IABAFNdzVm53T2b530q4yE3IRCIbkjZcPxjG66xZd1pqnzMtojconW6YFrvTrlgr/Xbv0eWbUYqq7/4qBFMZSsaaujggLzMIIC7zAfBgNVHSMEGDAWgBSBEZLeZjKlsFszPWVDhfzUBC3xrjAdBgNVHQ4EFgQU2Y3hq/LgsPbohoRKrV2gySieMy8wDgYDVR0PAQH/BAQDAgeAMAwGA1UdEwEB/wQCMAAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMEkGA1UdIARCMEAwNAYLKwYBBAGyMQECAhowJTAjBggrBgEFBQcCARYXaHR0cHM6Ly9zZWN0aWdvLmNvbS9DUFMwCAYGZ4EMAQIBMIGDBggrBgEFBQcBAQR3MHUwTgYIKwYBBQUHMAKGQmh0dHA6Ly9jcnQuc2VjdGlnby5jb20vR2FuZGlSU0FEb21haW5WYWxpZGF0aW9uU2VjdXJlU2VydmVyQ0EzLmNydDAjBggrBgEFBQcwAYYXaHR0cDovL29jc3Auc2VjdGlnby5jb20wHAYDVR0RBBUwE4IRdm9ldXgyMDIyLmdvdXYuZnIwggF/BgorBgEEAdZ5AgQCBIIBbwSCAWsBaQB2AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABi6xSIVIAAAQDAEcwRQIgQtSAjlBSQdAWtBviSI8xgKztjL3LQ/wIdfCkHUvWHScCIQDyGKWGCA6J2b0QWu6anLAIXshloGoz+Ag1QbWH/TM07AB3AD8XS0/XIkdYlB1lHIS+DRLtkDd/H4Vq68G/KIXs+GRuAAABi6xSIxoAAAQDAEgwRgIhANXOzO4RX5GqTU/Xctid6TmgoWGU70QLpizbZqU+wdIqAiEAvGtZTK6lECELYdXaXx3WWZ+dWnhbRRkrkam9GlJ3byUAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYusUiGAAAAEAwBHMEUCIQDwRQoCXYgqE3PBrgCKvtNGhgOHC+qqCj0pzK23zt4n/wIgNgFMJf6WtRTYfOIk7uiCY5oSPxS7d75OIsVMr3a0KrswDQYJKoZIhvcNAQEMBQADggGBAKKiEX8wdUpHCNhNEM6j/yKo9KbLcy5G7bmXXpZ96N4BV8Rg20RK6sppXn+MQFuwCb82IzdPCoweQPoYEwXYL85JpdZid2qU0QAB0txpvr4ZJlyL6HHjaolMw9NfeCKwb3YUvMnwJkojbcnMxJO4LTmP+ThOzp5rYRizA3p10DdJmhqrMzyvEgWGQ1N2RpDtpfRqSqqhJhikDe6c/lt2u9Cn+dU5vMyStiZXeFdFDO8bsjogL/8m9PoQY8Lx8us5p38jxt+B4k+qcYYIkXq8I4/0Yk6lxWteX+O34LnGpDaUrvxfcfbEnokGjgYz7lqCpGrD+B7MLQEfz+jq7zPumGYRnHDuivO6fLL82cSB0LhFwbV/miUMikSvzD2f05DYKDh4T1biBYUM/q8lsYRF5ra+CKWTP9KCotrXUmAqYJHyBbALXHAijSkIuVtdhbx8ZUqLEIs2WsqEq6j1VNsFgy/cWYafVu4MK/iXiYPe5RO6+Qp5qaaaRetnlL9fecefMA==\n-----END CERTIFICATE-----","",""
"cert_commonName","voeux2022.gouv.fr/217.70.184.55","443","OK","voeux2022.gouv.fr","",""
"cert_commonName_wo_SNI","voeux2022.gouv.fr/217.70.184.55","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","voeux2022.gouv.fr/217.70.184.55","443","INFO","voeux2022.gouv.fr","",""
"cert_trust","voeux2022.gouv.fr/217.70.184.55","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","voeux2022.gouv.fr/217.70.184.55","443","OK","passed.","",""
"cert_certificatePolicies_EV","voeux2022.gouv.fr/217.70.184.55","443","INFO","no","",""
"cert_expirationStatus","voeux2022.gouv.fr/217.70.184.55","443","OK","324 >= 60 days","",""
"cert_notBefore","voeux2022.gouv.fr/217.70.184.55","443","INFO","2023-11-08 00:00","",""
"cert_notAfter","voeux2022.gouv.fr/217.70.184.55","443","OK","2024-12-07 23:59","",""
"cert_extlifeSpan","voeux2022.gouv.fr/217.70.184.55","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","voeux2022.gouv.fr/217.70.184.55","443","INFO","not present","",""
"cert_crlDistributionPoints","voeux2022.gouv.fr/217.70.184.55","443","INFO","--","",""
"cert_ocspURL","voeux2022.gouv.fr/217.70.184.55","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","voeux2022.gouv.fr/217.70.184.55","443","OK","offered","",""
"cert_ocspRevoked","voeux2022.gouv.fr/217.70.184.55","443","OK","not revoked","",""
"cert_mustStapleExtension","voeux2022.gouv.fr/217.70.184.55","443","INFO","--","",""
"DNS_CAArecord","voeux2022.gouv.fr/217.70.184.55","443","LOW","--","",""
"certificate_transparency","voeux2022.gouv.fr/217.70.184.55","443","OK","yes (certificate extension)","",""
"certs_countServer","voeux2022.gouv.fr/217.70.184.55","443","INFO","2","",""
"certs_list_ordering_problem","voeux2022.gouv.fr/217.70.184.55","443","INFO","no","",""
"cert_caIssuers","voeux2022.gouv.fr/217.70.184.55","443","INFO","Gandi RSA Domain Validation Secure Server CA 3 (Gandi from FR)","",""
"intermediate_cert <#1>","voeux2022.gouv.fr/217.70.184.55","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGXDCCBESgAwIBAgIRAOkH5f+AdSJBCZB9ZyjKABAwDQYJKoZIhvcNAQEMBQAwgYgxCzAJBgNVBAYTAlVTMRMwEQYDVQQIEwpOZXcgSmVyc2V5MRQwEgYDVQQHEwtKZXJzZXkgQ2l0eTEeMBwGA1UEChMVVGhlIFVTRVJUUlVTVCBOZXR3b3JrMS4wLAYDVQQDEyVVU0VSVHJ1c3QgUlNBIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTIzMDgwMjAwMDAwMFoXDTMzMDgwMTIzNTk1OVowVjELMAkGA1UEBhMCRlIxDjAMBgNVBAoTBUdhbmRpMTcwNQYDVQQDEy5HYW5kaSBSU0EgRG9tYWluIFZhbGlkYXRpb24gU2VjdXJlIFNlcnZlciBDQSAzMIIBojANBgkqhkiG9w0BAQEFAAOCAY8AMIIBigKCAYEAwrwuXKdKIiD9eu4fsNjLN0mS8HsTdDFyPPB5F5uUd6SJGutc7sqDd3T/p+gnVoAZERvzAz8+OEux1GN1UJ+Gd8s5btXJCbDV5DpvzJOhfztk5JmFKz2XBka+MvDAgiyiZKs3G6yoMk8lEOu6NOsK3X8D1w0E6/C/ROa6Ml0ROnKm7vHGNVTfXTP5IqiNh2JXmp4vD23gemf8nfuI2FngayMNsjm6SwpVYWfT3S8jn5el52FKzwo+uKVZAjNH1ulgWoyO8p+PCsP+CvaEGDId3leSUVhPBBPRsxL42jjqo9aOKREgmrGco39JGf4OImxM8vKxQ9AjDrRTRETB9V9jbRf3v3Tojt3vBBwa3xQelVp9xUWQxo/5dV73g/c7WWAvZ628XUw6k6vn6bY7qWuhehUO02plRLd5zP8nBORCbPmFCI97lZAnDYLprB4e9IgCPJp+0zQDLr9o+eNKtR0a2Txb6nzGahIPi3a7QCH6+Yq4iwYVEQm+e6KBJZOm+YiLAgMBAAGjggFwMIIBbDAfBgNVHSMEGDAWgBRTeb9aqitKz1SA4dibwJ3ysgNmyzAdBgNVHQ4EFgQUgRGS3mYypbBbMz1lQ4X81AQt8a4wDgYDVR0PAQH/BAQDAgGGMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMCIGA1UdIAQbMBkwDQYLKwYBBAGyMQECAhowCAYGZ4EMAQIBMFAGA1UdHwRJMEcwRaBDoEGGP2h0dHA6Ly9jcmwudXNlcnRydXN0LmNvbS9VU0VSVHJ1c3RSU0FDZXJ0aWZpY2F0aW9uQXV0aG9yaXR5LmNybDBxBggrBgEFBQcBAQRlMGMwOgYIKwYBBQUHMAKGLmh0dHA6Ly9jcnQudXNlcnRydXN0LmNvbS9VU0VSVHJ1c3RSU0FBQUFDQS5jcnQwJQYIKwYBBQUHMAGGGWh0dHA6Ly9vY3NwLnVzZXJ0cnVzdC5jb20wDQYJKoZIhvcNAQEMBQADggIBADvVncOMStREyA00ZSRUmrkmR3KzAlHVz06X1ydG9EpZz+JTQMWO809buLbDnr6t9z9jVnsDTQnWcMG4qiIkwhJVLxOVXUO+LFSBMskOe1SPBtHwHS42DeZ8QTgbRlW9p/Ey9wIo+MS2tryQ9eaDTkc2FBed/82VjrdsQoeoTyuDdp4tqarixjM/iJMgyEAMCpTkx4EqXJ/z7qgXusacsxMzt6NLv7FYcaKGbwjKqzrRvEk/+ZYnZc5mxnautf0uwRCcOe0kCOh1fd+g6Tyd+cSj6oGcJY/f/Db0sxELpzGqjRkbXan+eMojQfsgIe1n7SVyI5Yxz2RnQQL5ZT5K1mBcucqsTqkk3C7L3hF4hkwC/Otm+badymHQcnbE1Pmz6ymqj2vtwT0mEQzetQdbvv3jc3ey4YcxirAM1ihxtXeINsEP1ndUV/0v+qqmk9iCoIjZQce8vAdziZqBYxO3NiZwTRAtqseiZWLJqQ077fy3ebdjmw6y5U+DhDW2kxF/e+FJnu53DuY5/bE+oUneY770A7BfCuH+6uhEOaMNsn21AHymLr1xlRPQYR0DMgHmsGTqdINcQfot1mlIXr05HQUK0b84CPgEU0zvVQL+j9dc/4rh2sR6rl//tjG01Q+zQKStnR2NlNNrElDUC9IDmvL9JcF20cvOlE4R0lfTXa1k\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","voeux2022.gouv.fr/217.70.184.55","443","INFO","F0104FF17274608F1A18A1E1EABF8E68A51F500A87E2EFA22ECB622763FEF4CF","",""
"intermediate_cert_notBefore <#1>","voeux2022.gouv.fr/217.70.184.55","443","INFO","2023-08-02 00:00","",""
"intermediate_cert_notAfter <#1>","voeux2022.gouv.fr/217.70.184.55","443","OK","2033-08-01 23:59","",""
"intermediate_cert_expiration <#1>","voeux2022.gouv.fr/217.70.184.55","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","voeux2022.gouv.fr/217.70.184.55","443","INFO","Gandi RSA Domain Validation Secure Server CA 3 <-- USERTrust RSA Certification Authority","",""
"intermediate_cert_badOCSP","voeux2022.gouv.fr/217.70.184.55","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","voeux2022.gouv.fr/217.70.184.55","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","voeux2022.gouv.fr/217.70.184.55","443","INFO","Got no HTTP time, maybe try different URL?","",""
"HSTS","voeux2022.gouv.fr/217.70.184.55","443","LOW","not offered","",""
"HPKP","voeux2022.gouv.fr/217.70.184.55","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","voeux2022.gouv.fr/217.70.184.55","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","voeux2022.gouv.fr/217.70.184.55","443","INFO","No application banner found","",""
"cookie_count","voeux2022.gouv.fr/217.70.184.55","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","voeux2022.gouv.fr/217.70.184.55","443","MEDIUM","--","",""
"banner_reverseproxy","voeux2022.gouv.fr/217.70.184.55","443","INFO","--","","CWE-200"
"heartbleed","voeux2022.gouv.fr/217.70.184.55","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","voeux2022.gouv.fr/217.70.184.55","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","voeux2022.gouv.fr/217.70.184.55","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","voeux2022.gouv.fr/217.70.184.55","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
