"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","vosges.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","vosges.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","vosges.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","vosges.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","vosges.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","vosges.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","vosges.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","vosges.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","vosges.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","vosges.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","vosges.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","vosges.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","vosges.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","vosges.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","vosges.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","vosges.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","vosges.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","vosges.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","vosges.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","vosges.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","vosges.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","vosges.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","vosges.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","vosges.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","vosges.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","vosges.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","vosges.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","vosges.gouv.fr/77.159.252.140","443","INFO","supported","",""
"TLS_timestamp","vosges.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","vosges.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","vosges.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","vosges.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","vosges.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","vosges.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","vosges.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","vosges.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","vosges.gouv.fr/77.159.252.140","443","INFO","C604F4954F9FE223EF7B9F80D29E5071","",""
