"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","HTTP","",""
"pre_128cipher","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","not offered","",""
"SSLv3","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","not offered","",""
"TLS1","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","not offered","",""
"TLS1_1","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","not offered","",""
"TLS1_2","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","offered","",""
"TLS1_3","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","offered with final","",""
"ALPN","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","not offered","",""
"cipherlist_NULL","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.cheminsdememoire.gouv.fr/45.60.14.211","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","offered","",""
"cipherlist_STRONG_FS","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","offered","",""
"cipher_order-tls1_2","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","server","",""
"cipherorder_TLSv1_2","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","server","",""
"FS","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","offered","",""
"FS_ciphers","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","yes","",""
"sessionresumption_ticket","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","supported","",""
"sessionresumption_ID","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","supported","",""
"TLS_timestamp","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","random","",""
"certificate_compression","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","none","",""
"clientAuth","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","none","",""
"cert_numbers","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","1","",""
"cert_signatureAlgorithm","www.cheminsdememoire.gouv.fr/45.60.14.211","443","OK","SHA256 with RSA","",""
"cert_keySize","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","01DCE670AD8235B90ADA9665A4F52F45","",""
"cert_serialNumberLen","www.cheminsdememoire.gouv.fr/45.60.14.211","443","INFO","16","",""
