"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","HTTP","",""
"pre_128cipher","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","not offered","",""
"SSLv3","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","not offered","",""
"TLS1","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","not offered","",""
"TLS1_1","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","not offered","",""
"TLS1_2","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","offered","",""
"TLS1_3","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","offered with final","",""
"ALPN_HTTP2","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","h2","",""
"ALPN","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","http/1.1","",""
"cipherlist_NULL","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.nouvelles-chances.gouv.fr/213.91.3.170","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","offered","",""
"cipher_order-tls1_2","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","server","",""
"cipherorder_TLSv1_2","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","server","",""
"FS","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","offered","",""
"FS_ciphers","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","prime256v1","",""
"TLS_extensions","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","yes","",""
"sessionresumption_ticket","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","supported","",""
"sessionresumption_ID","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","supported","",""
"TLS_timestamp","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","random","",""
"certificate_compression","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","none","",""
"clientAuth","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","none","",""
"cert_numbers","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","1","",""
"cert_signatureAlgorithm","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","SHA384 with RSA","",""
"cert_keySize","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","341ED6207F1C13CCC690C5DAB2B85F4C","",""
"cert_serialNumberLen","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","16","",""
"cert_fingerprintSHA1","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","DA3BD8558DEA331D60232B7BFB7A5C7DEFBBD502","",""
"cert_fingerprintSHA256","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","FAE39F30CAE40EA79B3EBD38BCE8BF537D508DB3EA10A84DC95E29DC5B1F5C82","",""
"cert","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","-----BEGIN CERTIFICATE-----\nMIIHqDCCBZCgAwIBAgIQNB7WIH8cE8zGkMXasrhfTDANBgkqhkiG9w0BAQwFADBEMQswCQYDVQQGEwJOTDEZMBcGA1UEChMQR0VBTlQgVmVyZW5pZ2luZzEaMBgGA1UEAxMRR0VBTlQgT1YgUlNBIENBIDQwHhcNMjMxMTI4MDAwMDAwWhcNMjQxMTI3MjM1OTU5WjCBiTELMAkGA1UEBhMCRlIxFzAVBgNVBAgMDsOObGUtZGUtRnJhbmNlMT0wOwYDVQQKEzRNSU5JU1RFUkUgREUgTCdFRFVDQVRJT04gTkFUSU9OQUxFIEVUIERFIExBIEpFVU5FU1NFMSIwIAYDVQQDExlub3V2ZWxsZXMtY2hhbmNlcy5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA16xD+oFRGQqgkvxWTkSSf/KT/4v9L3nBRnIn0o9KIApHTW4lmM8Ch66A74Oo526zbIbhddljT4XvE7BgjlwKUxhqwmTqB4GhiJ9h/Dad9BIVA9AVZN6njPKy7guWLwpxObcgpMwF7vwjP8qWVGl/2BFdj2Bt+xYwiEcX7IE5QjiJ5Om5Xp5OhlYL3djs1JV/8KzdGG8iGRpJPXlnKoF2BpupTKOrS908dDtiOYRVdVF+6j6kItqbAug/N0PunFWKvcl5PXoeBWmOATfVfhiTHv3wERzBpvwifYEsRXGGsVc0fTGKha5S/ZyYRV8My4Q3d9Y38FMZEoAiwS6HokBXxwIDAQABo4IDTjCCA0owHwYDVR0jBBgwFoAUbx01SRBsMvpZoJ68iugflb5xegwwHQYDVR0OBBYEFOVJ8wWFQSXtelRjSU1/jsmYi68VMA4GA1UdDwEB/wQEAwIFoDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjBJBgNVHSAEQjBAMDQGCysGAQQBsjEBAgJPMCUwIwYIKwYBBQUHAgEWF2h0dHBzOi8vc2VjdGlnby5jb20vQ1BTMAgGBmeBDAECAjA/BgNVHR8EODA2MDSgMqAwhi5odHRwOi8vR0VBTlQuY3JsLnNlY3RpZ28uY29tL0dFQU5UT1ZSU0FDQTQuY3JsMHUGCCsGAQUFBwEBBGkwZzA6BggrBgEFBQcwAoYuaHR0cDovL0dFQU5ULmNydC5zZWN0aWdvLmNvbS9HRUFOVE9WUlNBQ0E0LmNydDApBggrBgEFBQcwAYYdaHR0cDovL0dFQU5ULm9jc3Auc2VjdGlnby5jb20wggGBBgorBgEEAdZ5AgQCBIIBcQSCAW0BawB3AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABjBM9fEIAAAQDAEgwRgIhANGC7ZutdsQJGFmqys5KBmQ8T0IDGNjk1b4bzcXXyxv6AiEAuSUtG7i3ez//ruhzgiB1wTyggpCHl2m2LLKV0oKARfUAdwA/F0tP1yJHWJQdZRyEvg0S7ZA3fx+FauvBvyiF7PhkbgAAAYwTPX0cAAAEAwBIMEYCIQDhPFv/yuN8dGA19yu13SQzVUpQUOH/GAeEwZj4njw2HwIhAKoQO89rwMHqSzqqRwXD2ZwcGTeLd75SN7zeaTt/BrvjAHcA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGMEz18wgAABAMASDBGAiEAjDfJ8baFAOr7af5xEwUTrfaA1TyK8ytnNn0X9DwitUoCIQD8ZtTQl0IMze/gZriDMBN0BJwZNv0oBiO8y+EMYa+05DBDBgNVHREEPDA6ghlub3V2ZWxsZXMtY2hhbmNlcy5nb3V2LmZygh13d3cubm91dmVsbGVzLWNoYW5jZXMuZ291di5mcjANBgkqhkiG9w0BAQwFAAOCAgEAe2A/rM4TjL5gO//LhNQBm+OklhwD+pT8PKSj289ylZ43ddYvpxQ22GL9TEdN4zZk2v0GVHwhXPwSieB379J9Db7d4HH+GMs91HNvMNGp79sVy5H9/vLq4rCSK3GAj3eqbKN9IzLYSy8X9HjXRekzyUAUFWIfSyRz9rgCSNfaHUBZDXzQnvyXLCJaKow9AP8nro1me4ixTUKCjMMgXdfIbK19vd+pRs2q4A0+teXqvf8yPZITnMxWVyDawEAV1MRnErg1CMDxcTQqDbdvTkEgnB3zBTETzuJNYii44q3LmKjm4HXpl1bakfzmoPByWM1pxIMfxMtKwLXho2r54R1ysj8fBo/5ZulSwe0OhO3e1glM8XDULGBwlbOYW6haOAEwEBgc/F4PNxQuShywOTceBjcsLHJpZx2JvTSAHAuTgaICZ3nh8dmWVPGqc+AvvfReuBIMKsO5zt7XTh0snWbogx65LQsp5W0+h4e7lLd7wyOPYAOXIN80JirgWOsiNq94dvDeZ2kHaXXcvLP1A0rh/1ncoBvZ/AqoetR9UQ00esbez4wsGzXlblYocekV1UP9aAQp0+Ipp/bBwKBiD9YLsK8W4GWyvheMCNmV5KvbMP3KrhBMay4IJ7cm9+Nx7LK54qfdHaAtqaW4JL1g24UA9DV0FS3Kjru3Sa+1LcB5buM=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","nouvelles-chances.gouv.fr","",""
"cert_commonName_wo_SNI","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","*.onisep.fr","",""
"cert_subjectAltName","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","nouvelles-chances.gouv.fr www.nouvelles-chances.gouv.fr","",""
"cert_trust","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","no","",""
"cert_expirationStatus","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","320 >= 60 days","",""
"cert_notBefore","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","2023-11-28 00:00","",""
"cert_notAfter","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","2024-11-27 23:59","",""
"cert_extlifeSpan","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","not present","",""
"cert_crlDistributionPoints","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","http://GEANT.crl.sectigo.com/GEANTOVRSACA4.crl","",""
"cert_ocspURL","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","http://GEANT.ocsp.sectigo.com","",""
"OCSP_stapling","www.nouvelles-chances.gouv.fr/213.91.3.170","443","LOW","not offered","",""
"cert_mustStapleExtension","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","--","",""
"DNS_CAArecord","www.nouvelles-chances.gouv.fr/213.91.3.170","443","LOW","--","",""
"certificate_transparency","www.nouvelles-chances.gouv.fr/213.91.3.170","443","OK","yes (certificate extension)","",""
"certs_countServer","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","3","",""
"certs_list_ordering_problem","www.nouvelles-chances.gouv.fr/213.91.3.170","443","LOW","yes","",""
"cert_caIssuers","www.nouvelles-chances.gouv.fr/213.91.3.170","443","INFO","GEANT OV RSA CA 4 (GEANT Vereniging from NL)","",""
