"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","yonne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","yonne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","yonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","yonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","yonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","yonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","yonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","yonne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","yonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","yonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","yonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","yonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","yonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","yonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","yonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","yonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","yonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","yonne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","yonne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","yonne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","yonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","yonne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","yonne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","yonne.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","yonne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","yonne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","yonne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","yonne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","yonne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","yonne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","yonne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","yonne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","yonne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","yonne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","yonne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","yonne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","yonne.gouv.fr/77.159.252.140","443","INFO","1226B5D28EEB492C480BE65120F6582C","",""
"cert_serialNumberLen","yonne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","yonne.gouv.fr/77.159.252.140","443","INFO","EDBBF6B1435AD47CD1579C50F54AA18625488277","",""
