"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","HTTP","",""
"pre_128cipher","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","not offered","",""
"SSLv3","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","not offered","",""
"TLS1","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_1","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_2","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","offered","",""
"TLS1_3","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","offered with final","",""
"ALPN","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","http/1.1","",""
"cipherlist_NULL","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"cipherlist_STRONG_FS","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipher_order-tls1_2","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","server","",""
"cipherorder_TLSv1_2","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","server","",""
"FS","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","offered","",""
"FS_ciphers","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","yes","",""
"sessionresumption_ticket","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","supported","",""
"sessionresumption_ID","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","not supported","",""
"TLS_timestamp","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","random","",""
"certificate_compression","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","none","",""
"clientAuth","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","none","",""
"cert_numbers","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","1","",""
"cert_signatureAlgorithm","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","OK","SHA384 with RSA","",""
"cert_keySize","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","CFA825C6BBB9F60BD33B898C13B1FC09","",""
"cert_serialNumberLen","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","16","",""
"cert_fingerprintSHA1","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","DD462723203287B8380CD658C9FA01D8FC2B595B","",""
"cert_fingerprintSHA256","agence-francaise-anticorruption.gouv.fr/80.87.236.17","443","INFO","BEFFCDDEA8DA005800AEC3A09991A58450263D276A9629A688BEE83AC56EB57C","",""
