"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aisne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","aisne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aisne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","aisne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","aisne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","aisne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","aisne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","aisne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","aisne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","aisne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aisne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aisne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aisne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aisne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aisne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","aisne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","aisne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","aisne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","aisne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","aisne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","aisne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","aisne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","aisne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","aisne.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","aisne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","aisne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","aisne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","aisne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","aisne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","aisne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","aisne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","aisne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","aisne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","aisne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aisne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aisne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","aisne.gouv.fr/77.159.252.140","443","INFO","F3AC67BD552082C4572969D93467B246","",""
"cert_serialNumberLen","aisne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","aisne.gouv.fr/77.159.252.140","443","INFO","8B0DAD45350386323F0696A0B502B70CC92C974F","",""
"cert_fingerprintSHA256","aisne.gouv.fr/77.159.252.140","443","INFO","FB861D5066626148773B707EAB7CDB9DEED3EF5D2A0CA25497A0C1B88E2EA83F","",""
"cert","aisne.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIUDCCBjigAwIBAgIRAPOsZ71VIILEVylp2TRnskYwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIzMDYwNjIyMDAwMFoXDTI0MDYwNTIxNTk1OVowcTELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSEwHwYDVQQKDBhNSU5JU1RFUkUgREUgTCBJTlRFUklFVVIxGjAYBgNVBAMMEXd3dy5haXNuZS5nb3V2LmZyMRMwEQYDVQQFEwpTMjc1MTYxNzIwMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAy4P8ay3ONRwbvtqCiyiTJGuoHsT/jJtYKuQBaffBBjrBRzcrPKMmv44IUtHirrl34x9mMyJ9SSKCut/Ifa/5gOndcEkXPGQaxzU5CBBH6dWUXd3OAaoZ2rcTRC+A4ygJwc1mr9s0ZGRDdEYJ7b61Zd+x/oOeWeyeQ+9+n1QauVfK83dH+I4X6jLjKHGoA7tdCQ4pxrokCnueGvjvEWeWpikP91R9UcPJN1HiJlpRHIfzXSQYuzNnSFDybbEEnF19Kj1xr709vVkGOI1pl2QMn53v2tXhjjtcdC56awbScG5mgA+/9OyMzgfAg2vqv2rEjft3veQrmVLwiIPY70u8hQIDAQABo4ID1TCCA9EwgeQGCCsGAQUFBwEBBIHXMIHUMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwCQYDVR0TBAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMCsGA1UdEQQkMCKCDWFpc25lLmdvdXYuZnKCEXd3dy5haXNuZS5nb3V2LmZyMB0GA1UdDgQWBBRrV6irw8nZ7ZgHlUsxRbiHsYf/NDCCAX8GCisGAQQB1nkCBAIEggFvBIIBawFpAHYA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGIlf5zBAAABAMARzBFAiBaIw99xqLstP7zmLmmp4qP0ViGH7X93rgz2OJbJO3GugIhAOGfEAwd+vCFEGz8xEC4aGHpShy/qjgTIVuHxT2q4RLvAHcAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGIlf5zWwAABAMASDBGAiEA6BhuC1KIVVZGvk1f772tBz0hkKykQMwfKfA820GoSWsCIQCSklJ5oJpaSQGajWf+AofaL+IRsTjHMzr2gf5wS50/XQB2AFWB1MIWkDYBSuoLm1c8U/DA5Dh4cCUIFy+jqh0HE9MMAAABiJX+dLMAAAQDAEcwRQIgSl1zkBe50X58L4nN+6wezyAZ5D5Hhvek9RzuJsxzjb8CIQCEUZHBQJgVlmWJUJmX4RGmYjSZaVSrSEHN5m47Mfi05jANBgkqhkiG9w0BAQsFAAOCAgEAfIj6dJZEIthojkwJPDEYIfoeXXR5mL2TToL1FDLOZ2taOu2BGOFfHq+jHDcM4k090HOqhj5Mmw7jicyKc5tx96ZpOwkMqzGV6jQz5el7KHCnPy8gtZU7yCsNc/xI0TK9mGjQ0UAYTQYlya09gLPXy32n5iYHNtARfqR6CRVOgmJU8r094mX5zQbKN8YtyCvYuOOzbz4CX8myVnmNLan/ZYMthSxswm3FFav+hi1yEFmRQU/muzmpXLfPfnse9EQ9HciUAZ1xoJN/H/AgH4LATZQRZkW0zRAernPI5idjRrMv0A8q3NtGiJ5OGlfPBjrViH5t3GYl5NPTGU+jsoYko8LrQsb7CgfefmxIUmqte5v/JSLLPJDkqU5g5Lp0UtFcEt9/omDA7zQT461+lyR3G0gUFom/6xZLurP7LEtjT7rpHzPg6PT9croIECFRHJuVlzQ83df0Uoq9abnGTzM2OY3Cv75b0PSJ029rab6fov7C7NUS9NxnmgCGcPqGHHLbQXBiH0ogQnlwmi8Qlu9qOKvYLcvGlQR9KBA41j6ILRGgg3fI+4CvoDkeGOsVf3bVmTRoWMyynIHIzlMIscSUeVTRZ2qKfXPY2afKR3Kym7sK007y8kOVpWxmv/yBkjUHzV3QxUnJgGchvzNI7OJf9lbppYSHJBZyETD7rJx/vdU=\n-----END CERTIFICATE-----","",""
"cert_commonName","aisne.gouv.fr/77.159.252.140","443","OK","www.aisne.gouv.fr","",""
"cert_commonName_wo_SNI","aisne.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","aisne.gouv.fr/77.159.252.140","443","INFO","aisne.gouv.fr www.aisne.gouv.fr","",""
"cert_trust","aisne.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","aisne.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","aisne.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","aisne.gouv.fr/77.159.252.140","443","OK","110 >= 60 days","",""
"cert_notBefore","aisne.gouv.fr/77.159.252.140","443","INFO","2023-06-06 22:00","",""
"cert_notAfter","aisne.gouv.fr/77.159.252.140","443","OK","2024-06-05 21:59","",""
"cert_extlifeSpan","aisne.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","aisne.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","aisne.gouv.fr/77.159.252.140","443","INFO","http://crl.dhimyotis.com/servicesca.crl http://crl.certigna.fr/servicesca.crl","",""
"cert_ocspURL","aisne.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","aisne.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","aisne.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","aisne.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","aisne.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","aisne.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","aisne.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","aisne.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
