"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","alim-confiance.gouv.fr/185.161.46.229","443","INFO","HTTP","",""
"pre_128cipher","alim-confiance.gouv.fr/185.161.46.229","443","INFO","No 128 cipher limit bug","",""
"SSLv2","alim-confiance.gouv.fr/185.161.46.229","443","OK","not offered","",""
"SSLv3","alim-confiance.gouv.fr/185.161.46.229","443","OK","not offered","",""
"TLS1","alim-confiance.gouv.fr/185.161.46.229","443","LOW","offered (deprecated)","",""
"TLS1_1","alim-confiance.gouv.fr/185.161.46.229","443","LOW","offered (deprecated)","",""
"TLS1_2","alim-confiance.gouv.fr/185.161.46.229","443","OK","offered","",""
"TLS1_3","alim-confiance.gouv.fr/185.161.46.229","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","alim-confiance.gouv.fr/185.161.46.229","443","INFO","http/1.1","",""
"cipherlist_NULL","alim-confiance.gouv.fr/185.161.46.229","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","alim-confiance.gouv.fr/185.161.46.229","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","alim-confiance.gouv.fr/185.161.46.229","443","OK","not offered","","CWE-327"
"cipherlist_LOW","alim-confiance.gouv.fr/185.161.46.229","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","alim-confiance.gouv.fr/185.161.46.229","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","alim-confiance.gouv.fr/185.161.46.229","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","alim-confiance.gouv.fr/185.161.46.229","443","OK","offered","",""
"cipherlist_STRONG_FS","alim-confiance.gouv.fr/185.161.46.229","443","OK","offered","",""
"cipher_order-tls1","alim-confiance.gouv.fr/185.161.46.229","443","OK","server","",""
"cipherorder_TLSv1","alim-confiance.gouv.fr/185.161.46.229","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","alim-confiance.gouv.fr/185.161.46.229","443","OK","server","",""
"cipherorder_TLSv1_1","alim-confiance.gouv.fr/185.161.46.229","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","alim-confiance.gouv.fr/185.161.46.229","443","OK","server","",""
"cipherorder_TLSv1_2","alim-confiance.gouv.fr/185.161.46.229","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","alim-confiance.gouv.fr/185.161.46.229","443","OK","server","",""
"FS","alim-confiance.gouv.fr/185.161.46.229","443","OK","offered","",""
"FS_ciphers","alim-confiance.gouv.fr/185.161.46.229","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","alim-confiance.gouv.fr/185.161.46.229","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","alim-confiance.gouv.fr/185.161.46.229","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","alim-confiance.gouv.fr/185.161.46.229","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","alim-confiance.gouv.fr/185.161.46.229","443","INFO","yes","",""
"sessionresumption_ticket","alim-confiance.gouv.fr/185.161.46.229","443","INFO","supported","",""
"sessionresumption_ID","alim-confiance.gouv.fr/185.161.46.229","443","INFO","supported","",""
"TLS_timestamp","alim-confiance.gouv.fr/185.161.46.229","443","INFO","random","",""
"cert_compression","alim-confiance.gouv.fr/185.161.46.229","443","INFO","N/A","",""
"clientAuth","alim-confiance.gouv.fr/185.161.46.229","443","INFO","none","",""
"cert_numbers","alim-confiance.gouv.fr/185.161.46.229","443","INFO","1","",""
"cert_signatureAlgorithm","alim-confiance.gouv.fr/185.161.46.229","443","OK","SHA384 with RSA","",""
"cert_keySize","alim-confiance.gouv.fr/185.161.46.229","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","alim-confiance.gouv.fr/185.161.46.229","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","alim-confiance.gouv.fr/185.161.46.229","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","alim-confiance.gouv.fr/185.161.46.229","443","INFO","B8B968CDDF90E93E93664ED049E7D9A8","",""
"cert_serialNumberLen","alim-confiance.gouv.fr/185.161.46.229","443","INFO","16","",""
"cert_fingerprintSHA1","alim-confiance.gouv.fr/185.161.46.229","443","INFO","52E7E624733FF2BA0A85E6E0F90880DE0A410EB6","",""
"cert_fingerprintSHA256","alim-confiance.gouv.fr/185.161.46.229","443","INFO","56536A51A7C452D3A746D5C60447E0EDF1F83C8044285C3C9E349E55526F7470","",""
