"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","allo119.gouv.fr/46.18.135.249","443","INFO","HTTP","",""
"pre_128cipher","allo119.gouv.fr/46.18.135.249","443","INFO","No 128 cipher limit bug","",""
"SSLv2","allo119.gouv.fr/46.18.135.249","443","OK","not offered","",""
"SSLv3","allo119.gouv.fr/46.18.135.249","443","OK","not offered","",""
"TLS1","allo119.gouv.fr/46.18.135.249","443","INFO","not offered","",""
"TLS1_1","allo119.gouv.fr/46.18.135.249","443","INFO","not offered","",""
"TLS1_2","allo119.gouv.fr/46.18.135.249","443","OK","offered","",""
"TLS1_3","allo119.gouv.fr/46.18.135.249","443","OK","offered with final","",""
"ALPN","allo119.gouv.fr/46.18.135.249","443","INFO","http/1.1","",""
"cipherlist_NULL","allo119.gouv.fr/46.18.135.249","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","allo119.gouv.fr/46.18.135.249","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","allo119.gouv.fr/46.18.135.249","443","OK","not offered","","CWE-327"
"cipherlist_LOW","allo119.gouv.fr/46.18.135.249","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","allo119.gouv.fr/46.18.135.249","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","allo119.gouv.fr/46.18.135.249","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","allo119.gouv.fr/46.18.135.249","443","INFO","not offered","",""
"cipherlist_STRONG_FS","allo119.gouv.fr/46.18.135.249","443","OK","offered","",""
"cipher_order-tls1_2","allo119.gouv.fr/46.18.135.249","443","OK","server","",""
"cipherorder_TLSv1_2","allo119.gouv.fr/46.18.135.249","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","allo119.gouv.fr/46.18.135.249","443","OK","server","",""
"FS","allo119.gouv.fr/46.18.135.249","443","OK","offered","",""
"FS_ciphers","allo119.gouv.fr/46.18.135.249","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","allo119.gouv.fr/46.18.135.249","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","allo119.gouv.fr/46.18.135.249","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","allo119.gouv.fr/46.18.135.249","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","allo119.gouv.fr/46.18.135.249","443","INFO","yes","",""
"sessionresumption_ticket","allo119.gouv.fr/46.18.135.249","443","INFO","supported","",""
"sessionresumption_ID","allo119.gouv.fr/46.18.135.249","443","INFO","supported","",""
"TLS_timestamp","allo119.gouv.fr/46.18.135.249","443","INFO","random","",""
"certificate_compression","allo119.gouv.fr/46.18.135.249","443","INFO","none","",""
"clientAuth","allo119.gouv.fr/46.18.135.249","443","INFO","none","",""
"cert_numbers","allo119.gouv.fr/46.18.135.249","443","INFO","1","",""
"cert_signatureAlgorithm","allo119.gouv.fr/46.18.135.249","443","OK","SHA256 with RSA","",""
"cert_keySize","allo119.gouv.fr/46.18.135.249","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","allo119.gouv.fr/46.18.135.249","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","allo119.gouv.fr/46.18.135.249","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","allo119.gouv.fr/46.18.135.249","443","INFO","046B556D20148C22CFB28F03AA757986B5D4","",""
"cert_serialNumberLen","allo119.gouv.fr/46.18.135.249","443","INFO","18","",""
"cert_fingerprintSHA1","allo119.gouv.fr/46.18.135.249","443","INFO","0F46A40AE91B5E8D31AD5099AF44B1C842539330","",""
"cert_fingerprintSHA256","allo119.gouv.fr/46.18.135.249","443","INFO","E96AD6536EF19A325ACB074B0CC8E4EC6BA2E401E1E11912BDA316DE6652027D","",""
"cert","allo119.gouv.fr/46.18.135.249","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE/zCCA+egAwIBAgISBGtVbSAUjCLPso8DqnV5hrXUMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzExMTQwNTM2MDRaFw0yNDAyMTIwNTM2MDNaMBoxGDAWBgNVBAMTD2FsbG8xMTkuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAOPCBjPPVrvLXoRgxckAKLlUX43hyaRKBBZZkavqkWiv7ZjkOna16oee/9q2qAfpouA33mv0RM6RdDRqLnvrMTvnUYJbv+WsSssvGlz2uku/ASiAYLMtis5kKGOlX1aDp/bPa5M5Fj18RbZwAtCvLnT9G543Q/i/K7Ct8176jo3NHewniVoGkKBITA+l7yRfbDzDAoEcCTkOIbKd94f68673AbFDduy1yTeLE6FVa+KNQdobk36XfsvPHmaG10klrHyktRg6btpWZJRjbu9Nv0qpzppnthogyMMzSj/o8c6SD/Ca+htEeJniR2IyqqvW5YMsQeIqaQNZ+qocn4fHlIMCAwEAAaOCAiUwggIhMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUwr33TTKR3XXcNj6GTyUvftPv+lEwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wLwYDVR0RBCgwJoIPYWxsbzExOS5nb3V2LmZyghN3d3cuYWxsbzExOS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHUASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGLzItSbwAABAMARjBEAiBgm5jVYtLEy+2v0PqyEqgIhtdcdVmnT3QTZFIeoeXiqwIgHVX/tZF0C6HuVl8bmY5FNeQLQI+7YI2KB1ghgce3U5cAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYvMi1KTAAAEAwBHMEUCIQCDZmHbNiugKYR8/dAAnqHqSGkUrPfMpbPiBn6RbwJ4dgIgFHR2uBjvfZvTSz7+S9SfmhcQ8Y8WWPl5amxZbKuNapQwDQYJKoZIhvcNAQELBQADggEBAKdHNI7ulraJ0ZfXis2ohxsUgYQA7JDchxHIStUkZtoR2h6FbBVM6ZGp2AQGyMqW8JgTVhbIBJOFX2+H/aQys/XiWzYm3jUz9NTsEwCq8nYqOzPLLu0mcVnZLHrNManpkw5h206YQaeGZbBoQ/dyfL0DIemDU11+Siq9tSYgvz8OmKP+eY263qbRlDzUbVANkjjtvpJqh5+zhQ9nCC7sczOW5pgwlRmzPI6G3lAsQ+VOkfnqqBgAaUJ44FhwpCMCAm+z6iIKhM1ewNfrXIwFbwYJqJIjHpXE1iMRG6cYO4VD5iopzoETHAyvXnrHT2TEvtsYMpmqO8seuH6KOSxCxIo=\n-----END CERTIFICATE-----","",""
"cert_commonName","allo119.gouv.fr/46.18.135.249","443","OK","allo119.gouv.fr","",""
"cert_commonName_wo_SNI","allo119.gouv.fr/46.18.135.249","443","INFO","allo119.gouv.fr","",""
"cert_subjectAltName","allo119.gouv.fr/46.18.135.249","443","INFO","allo119.gouv.fr www.allo119.gouv.fr","",""
"cert_trust","allo119.gouv.fr/46.18.135.249","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","allo119.gouv.fr/46.18.135.249","443","OK","passed.","",""
"cert_certificatePolicies_EV","allo119.gouv.fr/46.18.135.249","443","INFO","no","",""
"cert_expirationStatus","allo119.gouv.fr/46.18.135.249","443","OK","31 >= 30 days","",""
"cert_notBefore","allo119.gouv.fr/46.18.135.249","443","INFO","2023-11-14 05:36","",""
"cert_notAfter","allo119.gouv.fr/46.18.135.249","443","OK","2024-02-12 05:36","",""
"cert_extlifeSpan","allo119.gouv.fr/46.18.135.249","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","allo119.gouv.fr/46.18.135.249","443","INFO","not present","",""
"cert_crlDistributionPoints","allo119.gouv.fr/46.18.135.249","443","INFO","--","",""
"cert_ocspURL","allo119.gouv.fr/46.18.135.249","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","allo119.gouv.fr/46.18.135.249","443","LOW","not offered","",""
"cert_mustStapleExtension","allo119.gouv.fr/46.18.135.249","443","INFO","--","",""
"DNS_CAArecord","allo119.gouv.fr/46.18.135.249","443","LOW","--","",""
"certificate_transparency","allo119.gouv.fr/46.18.135.249","443","OK","yes (certificate extension)","",""
"certs_countServer","allo119.gouv.fr/46.18.135.249","443","INFO","3","",""
"certs_list_ordering_problem","allo119.gouv.fr/46.18.135.249","443","INFO","no","",""
"cert_caIssuers","allo119.gouv.fr/46.18.135.249","443","INFO","R3 (Let's Encrypt from US)","",""
