"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","amendes.gouv.fr/160.92.148.108","443","INFO","HTTP","",""
"pre_128cipher","amendes.gouv.fr/160.92.148.108","443","INFO","No 128 cipher limit bug","",""
"SSLv2","amendes.gouv.fr/160.92.148.108","443","OK","not offered","",""
"SSLv3","amendes.gouv.fr/160.92.148.108","443","OK","not offered","",""
"TLS1","amendes.gouv.fr/160.92.148.108","443","INFO","not offered","",""
"TLS1_1","amendes.gouv.fr/160.92.148.108","443","INFO","not offered","",""
"TLS1_2","amendes.gouv.fr/160.92.148.108","443","OK","offered","",""
"TLS1_3","amendes.gouv.fr/160.92.148.108","443","OK","offered with final","",""
"ALPN","amendes.gouv.fr/160.92.148.108","443","INFO","not offered","",""
"cipherlist_NULL","amendes.gouv.fr/160.92.148.108","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","amendes.gouv.fr/160.92.148.108","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","amendes.gouv.fr/160.92.148.108","443","OK","not offered","","CWE-327"
"cipherlist_LOW","amendes.gouv.fr/160.92.148.108","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","amendes.gouv.fr/160.92.148.108","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","amendes.gouv.fr/160.92.148.108","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","amendes.gouv.fr/160.92.148.108","443","INFO","not offered","",""
"cipherlist_STRONG_FS","amendes.gouv.fr/160.92.148.108","443","OK","offered","",""
"cipher_order-tls1_2","amendes.gouv.fr/160.92.148.108","443","OK","server","",""
"cipherorder_TLSv1_2","amendes.gouv.fr/160.92.148.108","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","amendes.gouv.fr/160.92.148.108","443","OK","server","",""
"FS","amendes.gouv.fr/160.92.148.108","443","OK","offered","",""
"FS_ciphers","amendes.gouv.fr/160.92.148.108","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","amendes.gouv.fr/160.92.148.108","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","amendes.gouv.fr/160.92.148.108","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","amendes.gouv.fr/160.92.148.108","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","amendes.gouv.fr/160.92.148.108","443","INFO","yes","",""
"sessionresumption_ticket","amendes.gouv.fr/160.92.148.108","443","INFO","not supported","",""
"sessionresumption_ID","amendes.gouv.fr/160.92.148.108","443","INFO","supported","",""
"TLS_timestamp","amendes.gouv.fr/160.92.148.108","443","INFO","random","",""
"certificate_compression","amendes.gouv.fr/160.92.148.108","443","INFO","none","",""
"clientAuth","amendes.gouv.fr/160.92.148.108","443","INFO","none","",""
"cert_numbers","amendes.gouv.fr/160.92.148.108","443","INFO","1","",""
"cert_signatureAlgorithm","amendes.gouv.fr/160.92.148.108","443","OK","SHA256 with RSA","",""
"cert_keySize","amendes.gouv.fr/160.92.148.108","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","amendes.gouv.fr/160.92.148.108","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","amendes.gouv.fr/160.92.148.108","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","amendes.gouv.fr/160.92.148.108","443","INFO","8D949383269A31BBBAD9D43C704BF614","",""
"cert_serialNumberLen","amendes.gouv.fr/160.92.148.108","443","INFO","16","",""
"cert_fingerprintSHA1","amendes.gouv.fr/160.92.148.108","443","INFO","B47673AA0637DC9E8BA6A123C421FF89E65BD203","",""
"cert_fingerprintSHA256","amendes.gouv.fr/160.92.148.108","443","INFO","AC6185D6B6324CA4B58B5A0FB129B989EEBC94467915101159181A5C7659BA69","",""
