"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ardeche.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","ardeche.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ardeche.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","ardeche.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","ardeche.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","ardeche.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","ardeche.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","ardeche.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","ardeche.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","ardeche.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ardeche.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ardeche.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ardeche.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ardeche.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ardeche.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ardeche.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ardeche.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","ardeche.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","ardeche.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ardeche.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","ardeche.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","ardeche.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ardeche.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","ardeche.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","ardeche.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ardeche.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","ardeche.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","ardeche.gouv.fr/77.159.252.140","443","INFO","supported","",""
"TLS_timestamp","ardeche.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","ardeche.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","ardeche.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","ardeche.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","ardeche.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","ardeche.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ardeche.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ardeche.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","ardeche.gouv.fr/77.159.252.140","443","INFO","3B8FCEC0FCC04B1B64199CA7835CF2E9","",""
"cert_serialNumberLen","ardeche.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","ardeche.gouv.fr/77.159.252.140","443","INFO","4BB145533F674C9840CF4D6F4A8A5F2C972D6F70","",""
"cert_fingerprintSHA256","ardeche.gouv.fr/77.159.252.140","443","INFO","43FA90D4F8F762D6CA0091EE883C7DBB9DD43F4647FFCA462862EF07E21629DB","",""
"cert","ardeche.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIUzCCBjugAwIBAgIQO4/OwPzASxtkGZyng1zy6TANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjMwMzI4MjIwMDAwWhcNMjQwNDI2MjE1OTU5WjBzMQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxITAfBgNVBAoMGE1JTklTVEVSRSBERSBMIElOVEVSSUVVUjEcMBoGA1UEAwwTd3d3LmFyZGVjaGUuZ291di5mcjETMBEGA1UEBRMKUzI2ODExMzMwNjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKTE/85So7OTFwNrW+HCMePDR8EiuqnL4979/wHzqU9zRDwlzTvG2wORNw3dv5j/othxCEYonZYQFnvlYO/f7PpyCkwa+Tj18bIqWEs8OQR2IPjzMNx177XjdWa9agAZ4oSisqt3EYKrSL/+m0i4KIA5BtUfC0J0e+4Tm3dXPh6c43+VTivm4Z/GdKJyDBO/3hZu1wCXgpYWqcCh2l9MjWZ+ceF4Gccbn3+Bn1Xovr+IFYKBviVej+1PN0iDTtnPzmN4niqayRWzCXNniMz4m+bY+BRa5wKP0jNE/0ZnjkK6FgGwttWyoU/m11QDZ8IulGoZbRKJHzNdLZYrzQLhF18CAwEAAaOCA9cwggPTMIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDAvBgNVHREEKDAmgg9hcmRlY2hlLmdvdXYuZnKCE3d3dy5hcmRlY2hlLmdvdXYuZnIwHQYDVR0OBBYEFPRgp6dTRPwvpkUYT6VUBfQf2wvlMIIBfQYKKwYBBAHWeQIEAgSCAW0EggFpAWcAdQDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYctZjxoAAAEAwBGMEQCIAR0cmpkIVByR5A+P7fugK3qZ2rjxedBH89CqUfRnTKzAiAE6RyHKlNLMjdwZAwmPpyevCURiGrwtq2QShbhmqVTdgB3AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABhy1mPOYAAAQDAEgwRgIhANcUtfrt/5F9lOSxEqEK+28JEcMD6L6BMijNRV6/G5fyAiEA7ClIV2DAD1V8Lw9cJvzkMzMTMzjpScNAEauZNxok5bkAdQA7U3d1Pi25gE6LMFsG/kA7Z9hPw/THvQANLXJv4frUFwAAAYctZkADAAAEAwBGMEQCIHHepu7TuS9grD7cUl/eoR1w4Nvg7+uRyuWM/mm6spfOAiBHH98lXJiPj+ycCJN2kw1RXpfWXbjWXrSTytatcjyi9zANBgkqhkiG9w0BAQsFAAOCAgEAl8ZT5YeqmeI+jFsbXEWuTiYINKz7Y5LowsS3l0T9h6aiwTnCWLLgTKTz0E+0hhPzG38FzXUkFuoHfcd+tYHnvLB4q8IYSS/Piw+VLrZbJH8VwCmUXioPU3T9ikkoh/3hmcC7yKiPC2U2AwaEua8YYNPhF+jcn2USfTSjARVPTRG7qvUf2fz/pX3r0B2D4Uswg0Ucyvux5N/fK7BP+s5yvC4jtDaitT4yq9FiC+LNJCLzWM3BglJEGz0sPDtTBUK6L6nmirj+AdWLPq9x5i1c38y2W3JKqleGHSnY+EWOBr6juz03BpoHPFBgeRmLwhvcA8dkjnyQVXc8BdWzYdJymwpo1t6lKhO4e9jacabpWUof7gRMZY2SHdiS9eFbvie+5eUrrIxBfT9wfKsJS1P2qIA8EjDZwZknZltjQjEq7xDZABrfhU0ajIjw5R3da0oHYBkAIrpbrYOOFwMvt9G1Xm5Z3qDqq6twLKXue3hjITqim6VfOQCfVvcWvPR+KgJhh2YFKg960HIYF3jsvMM01hzmwHWC505AklrdFIABPoi2xib7Dm1PXhHM8wQrCQqUiHBGLrgz5COnIjiVnHtJU3kdNZ7b0G+BL8Sp/0fcZ2uCGQPlRQnHlv341qn/vpUw6ULDB1nIkamfWM3ghYRyOZfdw7MKsSKogLm41knnBJA=\n-----END CERTIFICATE-----","",""
"cert_commonName","ardeche.gouv.fr/77.159.252.140","443","OK","www.ardeche.gouv.fr","",""
"cert_commonName_wo_SNI","ardeche.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","ardeche.gouv.fr/77.159.252.140","443","INFO","ardeche.gouv.fr www.ardeche.gouv.fr","",""
"cert_trust","ardeche.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","ardeche.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","ardeche.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","ardeche.gouv.fr/77.159.252.140","443","OK","70 >= 60 days","",""
"cert_notBefore","ardeche.gouv.fr/77.159.252.140","443","INFO","2023-03-28 22:00","",""
"cert_notAfter","ardeche.gouv.fr/77.159.252.140","443","OK","2024-04-26 21:59","",""
"cert_extlifeSpan","ardeche.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","ardeche.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","ardeche.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","ardeche.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","ardeche.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","ardeche.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","ardeche.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","ardeche.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","ardeche.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","ardeche.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","ardeche.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","ardeche.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgxMDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRDZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsSY66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtBZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rryGidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZszN76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6QzNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QWFd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabjzc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OHnlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEBAAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9yaXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDApoCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcNAQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBINbRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW+oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4by6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjmkczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhnDWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","ardeche.gouv.fr/77.159.252.140","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","ardeche.gouv.fr/77.159.252.140","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","ardeche.gouv.fr/77.159.252.140","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","ardeche.gouv.fr/77.159.252.140","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","ardeche.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","ardeche.gouv.fr/77.159.252.140","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","ardeche.gouv.fr/77.159.252.140","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","ardeche.gouv.fr/77.159.252.140","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","ardeche.gouv.fr/77.159.252.140","443","INFO","1708082495","",""
"HTTP_headerAge","ardeche.gouv.fr/77.159.252.140","443","INFO","0 seconds","",""
"HSTS","ardeche.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"HPKP","ardeche.gouv.fr/77.159.252.140","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","ardeche.gouv.fr/77.159.252.140","443","INFO","Apache","",""
"banner_application","ardeche.gouv.fr/77.159.252.140","443","INFO","No application banner found","",""
"cookie_count","ardeche.gouv.fr/77.159.252.140","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
