"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aveyron.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","aveyron.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aveyron.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","aveyron.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","aveyron.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","aveyron.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","aveyron.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","aveyron.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","aveyron.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","aveyron.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aveyron.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aveyron.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aveyron.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aveyron.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aveyron.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","aveyron.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","aveyron.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","aveyron.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","aveyron.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","aveyron.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","aveyron.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","aveyron.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","aveyron.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","aveyron.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","aveyron.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","aveyron.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","aveyron.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","aveyron.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","aveyron.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","aveyron.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","aveyron.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","aveyron.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","aveyron.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","aveyron.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aveyron.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aveyron.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","aveyron.gouv.fr/77.159.252.140","443","INFO","3BBA7DEED09E7CA18D19E1ABA1DC1294","",""
"cert_serialNumberLen","aveyron.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","aveyron.gouv.fr/77.159.252.140","443","INFO","F1E081D422BA017AD2F4CC202BA1881222DDEDB6","",""
"cert_fingerprintSHA256","aveyron.gouv.fr/77.159.252.140","443","INFO","78F1415EE489A0C1F4C2E5C73DFF69416D3430E5408382C4B1F3646E3900F6E5","",""
