"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","boss.gouv.fr/91.209.25.94","443","INFO","HTTP","",""
"pre_128cipher","boss.gouv.fr/91.209.25.94","443","INFO","No 128 cipher limit bug","",""
"SSLv2","boss.gouv.fr/91.209.25.94","443","OK","not offered","",""
"SSLv3","boss.gouv.fr/91.209.25.94","443","OK","not offered","",""
"TLS1","boss.gouv.fr/91.209.25.94","443","INFO","not offered","",""
"TLS1_1","boss.gouv.fr/91.209.25.94","443","INFO","not offered","",""
"TLS1_2","boss.gouv.fr/91.209.25.94","443","OK","offered","",""
"TLS1_3","boss.gouv.fr/91.209.25.94","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","boss.gouv.fr/91.209.25.94","443","INFO","http/1.1","",""
"cipherlist_NULL","boss.gouv.fr/91.209.25.94","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","boss.gouv.fr/91.209.25.94","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","boss.gouv.fr/91.209.25.94","443","OK","not offered","","CWE-327"
"cipherlist_LOW","boss.gouv.fr/91.209.25.94","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","boss.gouv.fr/91.209.25.94","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","boss.gouv.fr/91.209.25.94","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","boss.gouv.fr/91.209.25.94","443","INFO","not offered","",""
"cipherlist_STRONG_FS","boss.gouv.fr/91.209.25.94","443","OK","offered","",""
"cipher_order-tls1_2","boss.gouv.fr/91.209.25.94","443","OK","server","",""
"cipherorder_TLSv1_2","boss.gouv.fr/91.209.25.94","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","boss.gouv.fr/91.209.25.94","443","OK","server","",""
"FS","boss.gouv.fr/91.209.25.94","443","OK","offered","",""
"FS_ciphers","boss.gouv.fr/91.209.25.94","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","boss.gouv.fr/91.209.25.94","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","boss.gouv.fr/91.209.25.94","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'status request/#5' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","boss.gouv.fr/91.209.25.94","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","boss.gouv.fr/91.209.25.94","443","INFO","yes","",""
