"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","B054C9D4F0FE58281309311E5AF01D","",""
"cert_serialNumberLen","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","15","",""
"cert_fingerprintSHA1","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","F1048BC1AD6DDF7E17285D0173894D474889E407","",""
"cert_fingerprintSHA256","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","9F11FD6EA9D53AB2D557233B93C52BD594367CC49D7998D7EEEB3FC40EAC3CEF","",""
"cert","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIcDCCBligAwIBAgIQALBUydTw/lgoEwkxHlrwHTANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjMwODIxMjIwMDAwWhcNMjQwODIwMjE1OTU5WjB8MQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxITAfBgNVBAoMGE1JTklTVEVSRSBERSBMIElOVEVSSUVVUjElMCMGA1UEAwwcd3d3LmJvdWNoZXMtZHUtcmhvbmUuZ291di5mcjETMBEGA1UEBRMKUzI4MjcxMTc3ODCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANWA8wpJMYMFbZwlYQXnHOHBTfUYjIELaHxc3zuvKJJopskCCxa9qgmlzi/iUqTzVPVVhEnHhaIjAqy2w/OzrWNASciLVvannBVPS3s+e5FBL33aQUNJ0smERPqEGEP9MEhBXeRcxbOdXjTudRpPHpDSj9rtfK5xvZ/UXQpDXJEKgAVmvkH7G1HFh+gEdK0ezO51cVsRWFD9OsL1gEBlATIa69/dkDSFiW83nPu8LhdbEoWP8kT3BeL71WsdabxJ1sVKKrqtZM4Ex7V+zos5BUteFpqKxTfLfsuPyN5N/0qIF2xeFwPwKegpwlSOyvcdG0dt/cAyC9cjixLmzSK8IOsCAwEAAaOCA+swggPnMIHkBggrBgEFBQcBAQSB1zCB1DA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDBBBgNVHREEOjA4ghx3d3cuYm91Y2hlcy1kdS1yaG9uZS5nb3V2LmZyghhib3VjaGVzLWR1LXJob25lLmdvdXYuZnIwHQYDVR0OBBYEFLLzDO43U6Nb25b/k1KgkkWXXxESMIIBfwYKKwYBBAHWeQIEAgSCAW8EggFrAWkAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYodmpu9AAAEAwBHMEUCIQD+2xAyCI2o3nA5uBWoPKbzyLpIMsNk8U9sc5A9R4QeuAIgdeyc4lLosDipHagv4HfXJxcMCtmJV+HqLdx9oiz5oYQAdwB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYodmpxmAAAEAwBIMEYCIQCCnwLtLkOtGXgB2Ma3hWVh8nUgI41epazALa8hH9QFVgIhAMrM0k6S36kcoKugRA7gQv0ZI7Mz+wVVJ9HXGToKJTE6AHYAVYHUwhaQNgFK6gubVzxT8MDkOHhwJQgXL6OqHQcT0wwAAAGKHZqfKwAABAMARzBFAiEA61+nXODedSQMR7tdC1+bvwnWf9SPuZsHpf9JSBIbxIoCIEq4FDpO4rB3hT3wSmTT/Opai2nbUF8izHVEoMnMDi2uMA0GCSqGSIb3DQEBCwUAA4ICAQCLC1L6DUcW24Q6Wdpa/6OxHOa8LXYThokfg5RZ0qexLMN4Nnm1w/zYzGNbyMkATiVvChOzDzS6QwDwxXcoCus49yYv0w30LnHAmnKPRzJhOdN0UEp4KFdL1o/EC0TX7UNedGAqzntnE9oPrruR9QAHCmP1kcatV02D64wbs4Bu+w36yUX+C8ltodH5vXanBKDpHz0Ajdys8Tlka4YEkP44RR4LJjYQslMFVtisgLOtd/xetRZh9tHXEqQWCNHxsPSmWQADvz43yAfzeNqM/biWWTf3ZEgik8XCwdMp7bqsADV8tccGm+XbQ779uTc9wSP0+Gr/4rRYqBPedA4w2ooDoy4X40rlKumE9RJCQjCVKaUTsJ+PlYQBgiOW1UmGLIv1Fetd5gr5+Pa2bMwSS4kx2NxRThiGspkGafUYkjIm450hcqHx7Y/3TWahwSh5D0sej+hgf+ZYiIGEnm+r1FFTCzqC1BAMguVRZW/EpofN1hN5tpla/29jysfPdVl4LvS2HQLDR0GRW+3ZWIAybdwS+3GZ+pv6i2RdLcEk27G3vJ51VizlnXJJYKcEaQ4inOF9GnMK+4O+UBRrfRNUWjE3QdYrc1uKUEJmdnYK5RIyoVdB56GgJ1/UNQPUXAMEGwmj9/77dElCrwfVQvKAgR6fwrPVxADf9Q72k2m6d6pt5A==\n-----END CERTIFICATE-----","",""
"cert_commonName","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","www.bouches-du-rhone.gouv.fr","",""
"cert_commonName_wo_SNI","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","www.bouches-du-rhone.gouv.fr bouches-du-rhone.gouv.fr","",""
"cert_trust","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","186 >= 60 days","",""
"cert_notBefore","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","2023-08-21 22:00","",""
"cert_notAfter","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","2024-08-20 21:59","",""
"cert_extlifeSpan","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","bouches-du-rhone.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","bouches-du-rhone.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","bouches-du-rhone.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","bouches-du-rhone.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
