"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","budget.gouv.fr/80.87.236.17","443","INFO","HTTP","",""
"pre_128cipher","budget.gouv.fr/80.87.236.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","budget.gouv.fr/80.87.236.17","443","OK","not offered","",""
"SSLv3","budget.gouv.fr/80.87.236.17","443","OK","not offered","",""
"TLS1","budget.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_1","budget.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_2","budget.gouv.fr/80.87.236.17","443","OK","offered","",""
"TLS1_3","budget.gouv.fr/80.87.236.17","443","OK","offered with final","",""
"ALPN","budget.gouv.fr/80.87.236.17","443","INFO","http/1.1","",""
"cipherlist_NULL","budget.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","budget.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","budget.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","budget.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","budget.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","budget.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","budget.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"cipherlist_STRONG_FS","budget.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipher_order-tls1_2","budget.gouv.fr/80.87.236.17","443","OK","server","",""
"cipherorder_TLSv1_2","budget.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","budget.gouv.fr/80.87.236.17","443","OK","server","",""
"FS","budget.gouv.fr/80.87.236.17","443","OK","offered","",""
"FS_ciphers","budget.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","budget.gouv.fr/80.87.236.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","budget.gouv.fr/80.87.236.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","budget.gouv.fr/80.87.236.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","budget.gouv.fr/80.87.236.17","443","INFO","yes","",""
"sessionresumption_ticket","budget.gouv.fr/80.87.236.17","443","INFO","supported","",""
"sessionresumption_ID","budget.gouv.fr/80.87.236.17","443","INFO","not supported","",""
"TLS_timestamp","budget.gouv.fr/80.87.236.17","443","INFO","random","",""
"certificate_compression","budget.gouv.fr/80.87.236.17","443","INFO","none","",""
"clientAuth","budget.gouv.fr/80.87.236.17","443","INFO","none","",""
"cert_numbers","budget.gouv.fr/80.87.236.17","443","INFO","1","",""
"cert_signatureAlgorithm","budget.gouv.fr/80.87.236.17","443","OK","SHA384 with RSA","",""
"cert_keySize","budget.gouv.fr/80.87.236.17","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","budget.gouv.fr/80.87.236.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","budget.gouv.fr/80.87.236.17","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","budget.gouv.fr/80.87.236.17","443","INFO","5E223539EA071AD07D4888013BA19DFD","",""
"cert_serialNumberLen","budget.gouv.fr/80.87.236.17","443","INFO","16","",""
"cert_fingerprintSHA1","budget.gouv.fr/80.87.236.17","443","INFO","BEDB4EBFAF4867BD98E45DBD441698409EC21114","",""
"cert_fingerprintSHA256","budget.gouv.fr/80.87.236.17","443","INFO","01B0F2743AA7CF7B76D5A7535995648C9FC228EB074E39EA4278D33A02F36D56","",""
"cert","budget.gouv.fr/80.87.236.17","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGqTCCBRGgAwIBAgIQXiI1OeoHGtB9SIgBO6Gd/TANBgkqhkiG9w0BAQwFADBWMQswCQYDVQQGEwJGUjEOMAwGA1UEChMFR2FuZGkxNzA1BgNVBAMTLkdhbmRpIFJTQSBEb21haW4gVmFsaWRhdGlvbiBTZWN1cmUgU2VydmVyIENBIDMwHhcNMjMxMTA2MDAwMDAwWhcNMjQxMTIwMjM1OTU5WjAdMRswGQYDVQQDExJ3d3cuYnVkZ2V0LmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDQy8rPrD0DpFk+rp5731tjEnzsWSJGFYvAprcF5iOQq6X1oXCvF7PYhSl+ntGf/3e1DI9ov4oFYY1a3ac1sRJNFR1RtH54hbbiA5dtbBh4amt0lMdqWLF8PLlBqenPb6v3j+Fav2f0GqGFs+THC5xs9eiSz7MSB1vAQkfDtPbLZDfbj5U2zFrPCteL1ohnAemhKOx6itBo7jXzcGwmx3+PlMfQue5XDFgbd9xr3rnySEWADV2hXpHZkEc13y/cU9r3GJX1z4TeR6YP4xeeBVt1eUnAHBdbyhPUCCmSTn8G1YMvd0idqO9Qwad4PFuszkEXCJRo7EVac4ZvY+bqSfBfAgMBAAGjggMqMIIDJjAfBgNVHSMEGDAWgBSBEZLeZjKlsFszPWVDhfzUBC3xrjAdBgNVHQ4EFgQUqDEldY2m9W3Q6g7p+q/xI4/Sb3kwDgYDVR0PAQH/BAQDAgWgMAwGA1UdEwEB/wQCMAAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMEkGA1UdIARCMEAwNAYLKwYBBAGyMQECAhowJTAjBggrBgEFBQcCARYXaHR0cHM6Ly9zZWN0aWdvLmNvbS9DUFMwCAYGZ4EMAQIBMIGDBggrBgEFBQcBAQR3MHUwTgYIKwYBBQUHMAKGQmh0dHA6Ly9jcnQuc2VjdGlnby5jb20vR2FuZGlSU0FEb21haW5WYWxpZGF0aW9uU2VjdXJlU2VydmVyQ0EzLmNydDAjBggrBgEFBQcwAYYXaHR0cDovL29jc3Auc2VjdGlnby5jb20wggF8BgorBgEEAdZ5AgQCBIIBbASCAWgBZgB1AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABi6PT334AAAQDAEYwRAIgLJN2LZKNDbGJjADPz2Mq9vYbfXIcIektCEpMGAQ6g+ACIFELBFmNjJLWVioh6iwzYI31lDKOtlbR94jenfr1g1nGAHUAPxdLT9ciR1iUHWUchL4NEu2QN38fhWrrwb8ohez4ZG4AAAGLo9PgegAABAMARjBEAiBN7UUWw8wnDJyfRWqlK/HekuwhDPxyK1kAryYVhPOZlAIgcQb7uR44TmqylkbazTySwBbA/STMyOutD+mfyGl3qLUAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYuj09+pAAAEAwBHMEUCIQDAn2OvgWnpL/JMr1/QVEOeVwMyPALuMBHciqjnEBsaBQIgTbt2oyW1iCOXL2pUJeB+uSJRIa36ELxj2GY15EOtLfIwVgYDVR0RBE8wTYISd3d3LmJ1ZGdldC5nb3V2LmZygg5idWRnZXQuZ291di5mcoInd3d3LnBlcmZvcm1hbmNlLXB1YmxpcXVlLmJ1ZGdldC5nb3V2LmZyMA0GCSqGSIb3DQEBDAUAA4IBgQBnzCzZZwLdvfOe1fyZj1WOleTvCEgKr5hEGfg+8yXmecZcgPHNyCjxa+Ej9YG7S3dxNslofQoBdzHgin/bo7mo9TiJ0LPB18D2zRKYDJzTBBSR+sI3MYlEEP9O3hrWE4grn/ZcRhqcDRJdFNqzlsNXg51efBtkQbdSNLpKjMXPS9h7tfWbt+2arhhBs/6rn9Y64QzNEbgjNvqD1kQQtbRm8TQuKRBgm39eR7xJSBceIpNNrGwNCqXHwJloB25oO4FiaotfQU5lnvJwawcmzufP+FzUqaBwSiIpShmwBBn5g7rvFR4WpfWK7O4uoF+rFaYJqeSiVf8gPJid0avbrC+o0eIS63Jty2d9vbadWmnIWQxoaAKETafB+ct/aFA58qD6+nq2HITxRC+EGAHd33rpbKoSocdnXkfJfhhJAs2dyg3fie4EvU6jUCd2sh9bBqfUqy505WE6jX1dIjOvFJ1vjEn/Jz17hIMtrZ+oBYnWooqoTc3kv/eDzPcIJ1/EBek=\n-----END CERTIFICATE-----","",""
"cert_commonName","budget.gouv.fr/80.87.236.17","443","OK","www.budget.gouv.fr","",""
"cert_commonName_wo_SNI","budget.gouv.fr/80.87.236.17","443","INFO","www.loipacte.gouv.fr","",""
"cert_subjectAltName","budget.gouv.fr/80.87.236.17","443","INFO","www.budget.gouv.fr budget.gouv.fr www.performance-publique.budget.gouv.fr","",""
"cert_trust","budget.gouv.fr/80.87.236.17","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","budget.gouv.fr/80.87.236.17","443","OK","passed.","",""
"cert_certificatePolicies_EV","budget.gouv.fr/80.87.236.17","443","INFO","no","",""
"cert_expirationStatus","budget.gouv.fr/80.87.236.17","443","OK","308 >= 60 days","",""
"cert_notBefore","budget.gouv.fr/80.87.236.17","443","INFO","2023-11-06 00:00","",""
"cert_notAfter","budget.gouv.fr/80.87.236.17","443","OK","2024-11-20 23:59","",""
"cert_extlifeSpan","budget.gouv.fr/80.87.236.17","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","budget.gouv.fr/80.87.236.17","443","INFO","not present","",""
"cert_crlDistributionPoints","budget.gouv.fr/80.87.236.17","443","INFO","--","",""
"cert_ocspURL","budget.gouv.fr/80.87.236.17","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","budget.gouv.fr/80.87.236.17","443","LOW","not offered","",""
"cert_mustStapleExtension","budget.gouv.fr/80.87.236.17","443","INFO","--","",""
"DNS_CAArecord","budget.gouv.fr/80.87.236.17","443","OK","issue=certigna.fr, issue=letsencrypt.org, issue=sectigo.com","",""
"certificate_transparency","budget.gouv.fr/80.87.236.17","443","OK","yes (certificate extension)","",""
"certs_countServer","budget.gouv.fr/80.87.236.17","443","INFO","2","",""
"certs_list_ordering_problem","budget.gouv.fr/80.87.236.17","443","INFO","no","",""
"cert_caIssuers","budget.gouv.fr/80.87.236.17","443","INFO","Gandi RSA Domain Validation Secure Server CA 3 (Gandi from FR)","",""
