"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cantal.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","cantal.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cantal.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","cantal.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","cantal.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","cantal.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","cantal.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","cantal.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","cantal.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","cantal.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cantal.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cantal.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cantal.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cantal.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cantal.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cantal.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cantal.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","cantal.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","cantal.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cantal.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","cantal.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","cantal.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cantal.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cantal.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","cantal.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cantal.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","cantal.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","cantal.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","cantal.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","cantal.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","cantal.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","cantal.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","cantal.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","cantal.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cantal.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cantal.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","cantal.gouv.fr/77.159.252.140","443","INFO","CA40326BE69FC0303F1335186C8FBD73","",""
"cert_serialNumberLen","cantal.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","cantal.gouv.fr/77.159.252.140","443","INFO","64D39CF50E96DA76A84BF6C2477AB8188C3905BB","",""
"cert_fingerprintSHA256","cantal.gouv.fr/77.159.252.140","443","INFO","7D6FE76573A5499EFE4C2A84705326E1EC218C335E0CABC1AF0708219ED544EB","",""
"cert","cantal.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIUjCCBjqgAwIBAgIRAMpAMmvmn8AwPxM1GGyPvXMwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIzMDQyNDIyMDAwMFoXDTI0MDQyMzIxNTk1OVowcjELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSEwHwYDVQQKDBhNSU5JU1RFUkUgREUgTCBJTlRFUklFVVIxGzAZBgNVBAMMEnd3dy5jYW50YWwuZ291di5mcjETMBEGA1UEBRMKUzI3MDg1MTY5MDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANEm1Hu1BN/2CS8yAuRfX7/y0OAHwqifx+gupBANvoy5qy5WdNJWn+CUsbj1dLSpKr8WQOTY+oAD72/ut3Cj6c8C6Fc7g6oVkSJ4/Rx3Fi/8YqspFSeEuJV9kEP2K1qD6/CW+8YecBHQYQTRj4FH/Wwy2BpqvWkMfYkjVn3yoaczfoChLE/7JfW6U2iXFfA9WDhRQ5VlPTavaTQaJ5Xpi+Fw/dQa3vyQ9KuZRF65vlfri3x/FexWWb1nKCtyCacZ50p5Ukp0L874o1IQRqK9Lj7OrHPAX2mrDtLaIUm2O6VEPvn1DKRQQUQ0rlRY3K9TZElNZy5tq+00kHsDwoUlu+UCAwEAAaOCA9YwggPSMIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDAtBgNVHREEJjAkgg5jYW50YWwuZ291di5mcoISd3d3LmNhbnRhbC5nb3V2LmZyMB0GA1UdDgQWBBRcpiFcD7seGsxc/2tV5t/kSMJu0jCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHUA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGHt+FeoAAABAMARjBEAiBK0aFhe+oOeGgztLTfCde1gwx/hG4Olgkxcn6sygo4qQIgTIDXPHkvXAz8BYo45/7n3//PXIyWeAX+4qzSm2O4ByQAdgB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYe34V78AAAEAwBHMEUCIQDwbC+FtbRXJtKa4bgFame8A8bpheTb0CCbSn2FqgsCjQIgR3ERHM5+YMZLLTcEmPwr3LI+C83R6+TQ5EIHAhz2McYAdwA7U3d1Pi25gE6LMFsG/kA7Z9hPw/THvQANLXJv4frUFwAAAYe34WJZAAAEAwBIMEYCIQD5n+tv2vEfF33XAWoK6qaVEl5mK31TFMWA1XryR9aZBAIhAKvsLBLIxaVibmEM9kq54mx2TJKys2xhuRfqWFYTk4oZMA0GCSqGSIb3DQEBCwUAA4ICAQAhK5kAz12AKUYNMClOmC0hCvcgEAFgMCZLUeaSfpxU0IYscqt9mDZ5U3rhBdirHSgUQY6hHHrt9k2giJtmUuiXr5Onzxx7LzcCdm+PT83VDTZuGnvMJ1uuWGpxer7RIJmK3h8aFUhk++IV/o03fG2Mtc4DFwYQPUxkKuzUx+/67d6tHj1fjuBOD8OGjjEd+X/eBbPbOFl9PsNnhYMPz973WxKYKySFqjgPVvhvTNglXuwVPbRIy+YNlyTHFqxlZ6lacwH8jRHpz27lX8/n2xvq8Fc+LRTGhVgA3d/L7Pj/k0xfMqeE3NNHmmD7XDH0Nu853nR8v8mSMfxaSHOgNumQ2AJBUpwL1/uOco7j8L9UXqz95mWcWbltphCLK38w4vP71gbM0DpjORzcCQeGbbupCF4knclntTja7lwp4nKbsW7fpRBHwsl/IuUAx974sj3NZQjcf6+dxnMkylOJFEwiBotyJB6Cm8rj+NQF74wJIyA+ThZbFmSFP8obnXjbyyQZEMKX82H4dnUCc8G/ygQeBNwNFwwy0BnOkm1T0JXpzE4qBXEOOw+FbFBcUd4NBhqe4s06T3HAexePO1nYMVGXoFcFKkeNyU0e8SVIDUlToYIQqGNQldkSERcQKx2HkWmPdcRLKRwBC3wr8L3OlVCJKK/yvofRsioZpV5U4rcygg==\n-----END CERTIFICATE-----","",""
"cert_commonName","cantal.gouv.fr/77.159.252.140","443","OK","www.cantal.gouv.fr","",""
"cert_commonName_wo_SNI","cantal.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","cantal.gouv.fr/77.159.252.140","443","INFO","cantal.gouv.fr www.cantal.gouv.fr","",""
"cert_trust","cantal.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","cantal.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","cantal.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","cantal.gouv.fr/77.159.252.140","443","OK","67 >= 60 days","",""
"cert_notBefore","cantal.gouv.fr/77.159.252.140","443","INFO","2023-04-24 22:00","",""
"cert_notAfter","cantal.gouv.fr/77.159.252.140","443","OK","2024-04-23 21:59","",""
