"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cher.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","cher.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cher.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","cher.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","cher.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","cher.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","cher.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","cher.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","cher.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","cher.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cher.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cher.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cher.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cher.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cher.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cher.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cher.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","cher.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","cher.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cher.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","cher.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","cher.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cher.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cher.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","cher.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cher.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","cher.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","cher.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","cher.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","cher.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","cher.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","cher.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","cher.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","cher.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cher.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cher.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","cher.gouv.fr/77.159.252.140","443","INFO","87D8932CA7BC99D8F19E0F52790230BC","",""
"cert_serialNumberLen","cher.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","cher.gouv.fr/77.159.252.140","443","INFO","F85AEDA2511A0E9FEA3A41BE818F34140D4F0C46","",""
"cert_fingerprintSHA256","cher.gouv.fr/77.159.252.140","443","INFO","5FCB24D96F6FD4DC7A4F046C5B7233D05D6E6F5338560ABF625D4A2C2C05EE95","",""
