"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cigeo.gouv.fr/79.137.76.37","443","INFO","HTTP","",""
"pre_128cipher","cigeo.gouv.fr/79.137.76.37","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cigeo.gouv.fr/79.137.76.37","443","OK","not offered","",""
"SSLv3","cigeo.gouv.fr/79.137.76.37","443","OK","not offered","",""
"TLS1","cigeo.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"TLS1_1","cigeo.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"TLS1_2","cigeo.gouv.fr/79.137.76.37","443","OK","offered","",""
"TLS1_3","cigeo.gouv.fr/79.137.76.37","443","OK","offered with final","",""
"ALPN_HTTP2","cigeo.gouv.fr/79.137.76.37","443","OK","h2","",""
"ALPN","cigeo.gouv.fr/79.137.76.37","443","INFO","http/1.1","",""
"cipherlist_NULL","cigeo.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cigeo.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cigeo.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cigeo.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cigeo.gouv.fr/79.137.76.37","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cigeo.gouv.fr/79.137.76.37","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cigeo.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cigeo.gouv.fr/79.137.76.37","443","OK","offered","",""
"cipher_order-tls1_2","cigeo.gouv.fr/79.137.76.37","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","cigeo.gouv.fr/79.137.76.37","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","cigeo.gouv.fr/79.137.76.37","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","cigeo.gouv.fr/79.137.76.37","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","cigeo.gouv.fr/79.137.76.37","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","cigeo.gouv.fr/79.137.76.37","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cigeo.gouv.fr/79.137.76.37","443","INFO","NOT a cipher order configured","",""
"FS","cigeo.gouv.fr/79.137.76.37","443","OK","offered","",""
"FS_ciphers","cigeo.gouv.fr/79.137.76.37","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cigeo.gouv.fr/79.137.76.37","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cigeo.gouv.fr/79.137.76.37","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","cigeo.gouv.fr/79.137.76.37","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","cigeo.gouv.fr/79.137.76.37","443","INFO","yes","",""
"sessionresumption_ticket","cigeo.gouv.fr/79.137.76.37","443","INFO","supported","",""
"sessionresumption_ID","cigeo.gouv.fr/79.137.76.37","443","INFO","supported","",""
"TLS_timestamp","cigeo.gouv.fr/79.137.76.37","443","INFO","random","",""
"certificate_compression","cigeo.gouv.fr/79.137.76.37","443","INFO","none","",""
"clientAuth","cigeo.gouv.fr/79.137.76.37","443","INFO","none","",""
"cert_numbers","cigeo.gouv.fr/79.137.76.37","443","INFO","1","",""
"cert_signatureAlgorithm","cigeo.gouv.fr/79.137.76.37","443","OK","SHA256 with RSA","",""
"cert_keySize","cigeo.gouv.fr/79.137.76.37","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cigeo.gouv.fr/79.137.76.37","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cigeo.gouv.fr/79.137.76.37","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cigeo.gouv.fr/79.137.76.37","443","INFO","0303260713A5119B1B06B14A621126380B85","",""
"cert_serialNumberLen","cigeo.gouv.fr/79.137.76.37","443","INFO","18","",""
"cert_fingerprintSHA1","cigeo.gouv.fr/79.137.76.37","443","INFO","53ACA2F8C5C8A5289BE276FEA80747AFD1273427","",""
"cert_fingerprintSHA256","cigeo.gouv.fr/79.137.76.37","443","INFO","971D61A28F2B3E9E2D50F07B7D92A817DCE9AB43C5405A46DAEB1BDCDC4FB82C","",""
