"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","civs.gouv.fr/217.70.184.55","443","INFO","HTTP","",""
"pre_128cipher","civs.gouv.fr/217.70.184.55","443","INFO","No 128 cipher limit bug","",""
"SSLv2","civs.gouv.fr/217.70.184.55","443","OK","not offered","",""
"SSLv3","civs.gouv.fr/217.70.184.55","443","OK","not offered","",""
"TLS1","civs.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_1","civs.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_2","civs.gouv.fr/217.70.184.55","443","OK","offered","",""
"TLS1_3","civs.gouv.fr/217.70.184.55","443","OK","offered with final","",""
"ALPN","civs.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_NULL","civs.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","civs.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","civs.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_LOW","civs.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","civs.gouv.fr/217.70.184.55","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","civs.gouv.fr/217.70.184.55","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","civs.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_STRONG_FS","civs.gouv.fr/217.70.184.55","443","OK","offered","",""
"cipher_order-tls1_2","civs.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","civs.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","civs.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","civs.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","civs.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","civs.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","civs.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"FS","civs.gouv.fr/217.70.184.55","443","OK","offered","",""
"FS_ciphers","civs.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","civs.gouv.fr/217.70.184.55","443","OK","prime256v1","",""
"TLS_extensions","civs.gouv.fr/217.70.184.55","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","civs.gouv.fr/217.70.184.55","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","civs.gouv.fr/217.70.184.55","443","INFO","yes","",""
"sessionresumption_ticket","civs.gouv.fr/217.70.184.55","443","INFO","supported","",""
"sessionresumption_ID","civs.gouv.fr/217.70.184.55","443","INFO","not supported","",""
"TLS_timestamp","civs.gouv.fr/217.70.184.55","443","INFO","random","",""
"certificate_compression","civs.gouv.fr/217.70.184.55","443","INFO","none","",""
"clientAuth","civs.gouv.fr/217.70.184.55","443","INFO","none","",""
"cert_numbers","civs.gouv.fr/217.70.184.55","443","INFO","1","",""
"cert_signatureAlgorithm","civs.gouv.fr/217.70.184.55","443","OK","SHA256 with RSA","",""
"cert_keySize","civs.gouv.fr/217.70.184.55","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","civs.gouv.fr/217.70.184.55","443","INFO","Digital Signature","",""
"cert_extKeyUsage","civs.gouv.fr/217.70.184.55","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","civs.gouv.fr/217.70.184.55","443","INFO","E9F3578C2BF72779CE81B1445E46C3FE","",""
"cert_serialNumberLen","civs.gouv.fr/217.70.184.55","443","INFO","16","",""
"cert_fingerprintSHA1","civs.gouv.fr/217.70.184.55","443","INFO","9640B861CA6426E4FBE4C5674EBC9366288395D7","",""
"cert_fingerprintSHA256","civs.gouv.fr/217.70.184.55","443","INFO","2747B393B16C325830D8EA84CF1A54396444394279E375136DCE71A90C0C412B","",""
