"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cnig.gouv.fr/194.5.170.186","443","INFO","HTTP","",""
"pre_128cipher","cnig.gouv.fr/194.5.170.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cnig.gouv.fr/194.5.170.186","443","OK","not offered","",""
"SSLv3","cnig.gouv.fr/194.5.170.186","443","OK","not offered","",""
"TLS1","cnig.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_1","cnig.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_2","cnig.gouv.fr/194.5.170.186","443","OK","offered","",""
"TLS1_3","cnig.gouv.fr/194.5.170.186","443","OK","offered with final","",""
"ALPN_HTTP2","cnig.gouv.fr/194.5.170.186","443","OK","h2","",""
"ALPN","cnig.gouv.fr/194.5.170.186","443","INFO","http/1.1","",""
"cipherlist_NULL","cnig.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cnig.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cnig.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cnig.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cnig.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cnig.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cnig.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cnig.gouv.fr/194.5.170.186","443","OK","offered","",""
"cipher_order-tls1_2","cnig.gouv.fr/194.5.170.186","443","OK","server","",""
"cipherorder_TLSv1_2","cnig.gouv.fr/194.5.170.186","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cnig.gouv.fr/194.5.170.186","443","OK","server","",""
"FS","cnig.gouv.fr/194.5.170.186","443","OK","offered","",""
"FS_ciphers","cnig.gouv.fr/194.5.170.186","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cnig.gouv.fr/194.5.170.186","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cnig.gouv.fr/194.5.170.186","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","cnig.gouv.fr/194.5.170.186","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","cnig.gouv.fr/194.5.170.186","443","INFO","yes","",""
"sessionresumption_ticket","cnig.gouv.fr/194.5.170.186","443","INFO","not supported","",""
"sessionresumption_ID","cnig.gouv.fr/194.5.170.186","443","INFO","supported","",""
"TLS_timestamp","cnig.gouv.fr/194.5.170.186","443","INFO","random","",""
"certificate_compression","cnig.gouv.fr/194.5.170.186","443","INFO","none","",""
"clientAuth","cnig.gouv.fr/194.5.170.186","443","INFO","none","",""
"cert_numbers","cnig.gouv.fr/194.5.170.186","443","INFO","1","",""
"cert_signatureAlgorithm","cnig.gouv.fr/194.5.170.186","443","OK","SHA256 with RSA","",""
"cert_keySize","cnig.gouv.fr/194.5.170.186","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","cnig.gouv.fr/194.5.170.186","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cnig.gouv.fr/194.5.170.186","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cnig.gouv.fr/194.5.170.186","443","INFO","04F4A042D93C6A9BC3DBBB5B863837A6F6F3","",""
"cert_serialNumberLen","cnig.gouv.fr/194.5.170.186","443","INFO","18","",""
"cert_fingerprintSHA1","cnig.gouv.fr/194.5.170.186","443","INFO","1D1E7C7A56E8BCAA4136B2B2ED5602F6B7D61D09","",""
"cert_fingerprintSHA256","cnig.gouv.fr/194.5.170.186","443","INFO","5F92EAB5AD3E03E2178F76E3E3C7E48B35CB94127D4942678684E4A9088F046F","",""
"cert","cnig.gouv.fr/194.5.170.186","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF5TCCBM2gAwIBAgISBPSgQtk8apvD27tbhjg3pvbzMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAxMDUwODI5NThaFw0yNDA0MDQwODI5NTdaMBcxFTATBgNVBAMTDGNuaWcuZ291di5mcjCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBALxAhP1p/2i8pLiAPDQ2Yf+s9GCebk7uydE4Tr5FU6DrTpSxQMeqWzOqBtwvneW+h8okZR1NzjjdM1M3pX92d2W2XecEGdNXAyafqX74iNJ88ajlFRKhzoAVzI/31akreqJHeRozj+p4TSMt+HAehCykURFAKzHwVk29JNMVq9ENMArGvcVtr/lzFGngH1D5Vt3WVCp/k2tS9uZNU09ikVwatf4nNFggCm5h80IwKT1UMDynet07Ee+ERqdewMTYVLBrVuXdk2t3urpZAuLjgr2kloFGz+emOX7gTUctNuuTIh9omb88Acp0yjCC97gzMMcw0CtgDGq9LuCTi7TFlhY7cSP4YgXirntD5s3P30rNlkEz9kWSbF5PkqcMCUvG1rzSubHY0HX1nBEBFi7z82ZyedtohNFcmYufBsnJeo7kWnu6rska+tmzKQCdwxQYynx28g/VrZEVwm6nXEoksPwZ5WC5u6tPbsAJOLdpMc+EBRO1BzHNyazTMkgMyziXfFTvlhNgADF+CBudMs1DBL8cbh90TBlUfZ7xew9MeFhx8H3Jxw2Ck+DEdBFAwRX4FeHsAKJERKTO8qZIrreJ3wXUP8bcfLVMEmVCQz7dO8VRrrYD0BMyJWJELLtfSraeyR2QYIkgJlvJFWzkDYvw1cwp9eA+SWGsap2lOtKQqDCFAgMBAAGjggIOMIICCjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFAlEkRukUhSNUSJ9ujE70xB4H/0kMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMBcGA1UdEQQQMA6CDGNuaWcuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB1AEiw42vapkc0D+VqAvqdMOscUgHLVt0sgdm7v6s52IRzAAABjNj1NwoAAAQDAEYwRAIgI2FS0hcRUg3q438Ip5SZSkgF+sTnKOG8ANJa6uZeKtsCIFwOAeVXc2n+Fb+YTtDT8/6NOo4r/J01KNncgHTjytf3AHcAO1N3dT4tuYBOizBbBv5AO2fYT8P0x70ADS1yb+H61BcAAAGM2PU5AwAABAMASDBGAiEA2Nlidh0OLnW9LGBy/Nue2BhQ44T3Y8EYfT9BAcrHKAMCIQDMGutJU9n0nmhSO+NZrtV7WS4fLYacPR+Y0N2+CQ3xOTANBgkqhkiG9w0BAQsFAAOCAQEAi+twQfF4s0ypMgYfoclijGlAoShndq1YfI1wJHbAK95dmI+kl9Esi979s/LkExDqv03dYpbatpBGLie8SZOncR4zXhVudLtHLWIpgY8G5PIztMYnQt94pRRdudZl9UVFIjJd2ntH+3T7LmNm8bDy3Bvc9Jrz5xf9+GR7AslyQTdXl7EKTNgiBlsZRS754kTHI/5FQZVCdPfbUzHxFmMNh/RqWL6+U3mEQuvkGq+p7WHpTze32ozb4ugOPZimfUNAcLttLmEHPL3sT1HtJX4f50r7QDuWu7XDp6KWCO9yB+oiowfdLLHm8HlmNm0XxSXLbAUdBqYo+W9mZGCCLxx4Rg==\n-----END CERTIFICATE-----","",""
"cert_commonName","cnig.gouv.fr/194.5.170.186","443","OK","cnig.gouv.fr","",""
"cert_commonName_wo_SNI","cnig.gouv.fr/194.5.170.186","443","INFO","nowhere.din.developpement-durable.gouv.fr","",""
"cert_subjectAltName","cnig.gouv.fr/194.5.170.186","443","INFO","cnig.gouv.fr","",""
"cert_trust","cnig.gouv.fr/194.5.170.186","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","cnig.gouv.fr/194.5.170.186","443","OK","passed.","",""
"cert_certificatePolicies_EV","cnig.gouv.fr/194.5.170.186","443","INFO","no","",""
"cert_expirationStatus","cnig.gouv.fr/194.5.170.186","443","OK","47 >= 30 days","",""
"cert_notBefore","cnig.gouv.fr/194.5.170.186","443","INFO","2024-01-05 08:29","",""
"cert_notAfter","cnig.gouv.fr/194.5.170.186","443","OK","2024-04-04 08:29","",""
"cert_extlifeSpan","cnig.gouv.fr/194.5.170.186","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","cnig.gouv.fr/194.5.170.186","443","INFO","not present","",""
"cert_crlDistributionPoints","cnig.gouv.fr/194.5.170.186","443","INFO","--","",""
"cert_ocspURL","cnig.gouv.fr/194.5.170.186","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","cnig.gouv.fr/194.5.170.186","443","LOW","not offered","",""
"cert_mustStapleExtension","cnig.gouv.fr/194.5.170.186","443","INFO","--","",""
"DNS_CAArecord","cnig.gouv.fr/194.5.170.186","443","LOW","--","",""
"certificate_transparency","cnig.gouv.fr/194.5.170.186","443","OK","yes (certificate extension)","",""
"certs_countServer","cnig.gouv.fr/194.5.170.186","443","INFO","2","",""
"certs_list_ordering_problem","cnig.gouv.fr/194.5.170.186","443","INFO","no","",""
"cert_caIssuers","cnig.gouv.fr/194.5.170.186","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","cnig.gouv.fr/194.5.170.186","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAwWhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cPR5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdxsxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8ZutmNHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxgZ3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG/kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQBgt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6WPTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wlikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQzCkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BImlJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1OyK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90IdshCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6ZvMldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqXnLRbwHOoq7hHwg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","cnig.gouv.fr/194.5.170.186","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","cnig.gouv.fr/194.5.170.186","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","cnig.gouv.fr/194.5.170.186","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","cnig.gouv.fr/194.5.170.186","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","cnig.gouv.fr/194.5.170.186","443","INFO","R3 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","cnig.gouv.fr/194.5.170.186","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","cnig.gouv.fr/194.5.170.186","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","cnig.gouv.fr/194.5.170.186","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","cnig.gouv.fr/194.5.170.186","443","INFO","1708093967","",""
"HSTS_time","cnig.gouv.fr/194.5.170.186","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","cnig.gouv.fr/194.5.170.186","443","INFO","only for this domain","",""
"HSTS_preload","cnig.gouv.fr/194.5.170.186","443","INFO","domain is NOT marked for preloading","",""
"HPKP","cnig.gouv.fr/194.5.170.186","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","cnig.gouv.fr/194.5.170.186","443","INFO","nginx/1.18.0","",""
"banner_application","cnig.gouv.fr/194.5.170.186","443","INFO","x-powered-by: PHP/7.4.33","",""
"cookie_count","cnig.gouv.fr/194.5.170.186","443","INFO","1 at '/'","",""
"cookie_secure","cnig.gouv.fr/194.5.170.186","443","INFO","0/1 at '/' marked as secure","",""
"cookie_httponly","cnig.gouv.fr/194.5.170.186","443","INFO","0/1 at '/' marked as HttpOnly","",""
"Cache-Control","cnig.gouv.fr/194.5.170.186","443","INFO","private","",""
"banner_reverseproxy","cnig.gouv.fr/194.5.170.186","443","INFO","--","","CWE-200"
"heartbleed","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","cnig.gouv.fr/194.5.170.186","443","OK","supported","","CWE-310"
"secure_client_renego","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","cnig.gouv.fr/194.5.170.186","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","cnig.gouv.fr/194.5.170.186","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","cnig.gouv.fr/194.5.170.186","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=5F92EAB5AD3E03E2178F76E3E3C7E48B35CB94127D4942678684E4A9088F046F","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","cnig.gouv.fr/194.5.170.186","443","INFO","RFC3526/Oakley Group 15","CVE-2015-4000","CWE-310"
"LOGJAM","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST","cnig.gouv.fr/194.5.170.186","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
