"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dgse.gouv.fr/107.154.50.81","443","INFO","HTTP","",""
"pre_128cipher","dgse.gouv.fr/107.154.50.81","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dgse.gouv.fr/107.154.50.81","443","OK","not offered","",""
"SSLv3","dgse.gouv.fr/107.154.50.81","443","OK","not offered","",""
"TLS1","dgse.gouv.fr/107.154.50.81","443","INFO","not offered","",""
"TLS1_1","dgse.gouv.fr/107.154.50.81","443","INFO","not offered","",""
"TLS1_2","dgse.gouv.fr/107.154.50.81","443","OK","offered","",""
"TLS1_3","dgse.gouv.fr/107.154.50.81","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","dgse.gouv.fr/107.154.50.81","443","INFO","not offered","",""
"cipherlist_NULL","dgse.gouv.fr/107.154.50.81","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dgse.gouv.fr/107.154.50.81","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dgse.gouv.fr/107.154.50.81","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dgse.gouv.fr/107.154.50.81","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dgse.gouv.fr/107.154.50.81","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dgse.gouv.fr/107.154.50.81","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","dgse.gouv.fr/107.154.50.81","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dgse.gouv.fr/107.154.50.81","443","OK","offered","",""
"cipher_order-tls1_2","dgse.gouv.fr/107.154.50.81","443","OK","server","",""
"cipherorder_TLSv1_2","dgse.gouv.fr/107.154.50.81","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","dgse.gouv.fr/107.154.50.81","443","OK","server","",""
"FS","dgse.gouv.fr/107.154.50.81","443","OK","offered","",""
"FS_ciphers","dgse.gouv.fr/107.154.50.81","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","dgse.gouv.fr/107.154.50.81","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","dgse.gouv.fr/107.154.50.81","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","dgse.gouv.fr/107.154.50.81","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","dgse.gouv.fr/107.154.50.81","443","INFO","yes","",""
"sessionresumption_ticket","dgse.gouv.fr/107.154.50.81","443","INFO","not supported","",""
"sessionresumption_ID","dgse.gouv.fr/107.154.50.81","443","INFO","supported","",""
"TLS_timestamp","dgse.gouv.fr/107.154.50.81","443","INFO","random","",""
"cert_compression","dgse.gouv.fr/107.154.50.81","443","INFO","N/A","",""
"clientAuth","dgse.gouv.fr/107.154.50.81","443","INFO","none","",""
"cert_numbers","dgse.gouv.fr/107.154.50.81","443","INFO","1","",""
"cert_signatureAlgorithm","dgse.gouv.fr/107.154.50.81","443","OK","SHA256 with RSA","",""
"cert_keySize","dgse.gouv.fr/107.154.50.81","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dgse.gouv.fr/107.154.50.81","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dgse.gouv.fr/107.154.50.81","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","dgse.gouv.fr/107.154.50.81","443","INFO","8FC74174912620BE97401C5507425DD0","",""
"cert_serialNumberLen","dgse.gouv.fr/107.154.50.81","443","INFO","16","",""
"cert_fingerprintSHA1","dgse.gouv.fr/107.154.50.81","443","INFO","D3853F0B06B1678275F3B2C988C06AD9746CA5B9","",""
"cert_fingerprintSHA256","dgse.gouv.fr/107.154.50.81","443","INFO","570787CCD1407FCD08C0076E0AA96EA13824B1E63BE8ABCD0B432A1706B8EE88","",""
