"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","deux-sevres.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","deux-sevres.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","deux-sevres.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","deux-sevres.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","deux-sevres.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","deux-sevres.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","deux-sevres.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","deux-sevres.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","deux-sevres.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","deux-sevres.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","deux-sevres.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","deux-sevres.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","deux-sevres.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","deux-sevres.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","deux-sevres.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","deux-sevres.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","deux-sevres.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","deux-sevres.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","deux-sevres.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","deux-sevres.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","deux-sevres.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","deux-sevres.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","deux-sevres.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","deux-sevres.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","deux-sevres.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","deux-sevres.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","deux-sevres.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","deux-sevres.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","deux-sevres.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","deux-sevres.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","deux-sevres.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","deux-sevres.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","deux-sevres.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","deux-sevres.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","deux-sevres.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","deux-sevres.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","deux-sevres.gouv.fr/77.159.252.140","443","INFO","1846B930CEDEF6EBB787455AA8376493","",""
"cert_serialNumberLen","deux-sevres.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","deux-sevres.gouv.fr/77.159.252.140","443","INFO","5B55DBBDD4A80F58FD2D94CEF6368AD8CF464F89","",""
"cert_fingerprintSHA256","deux-sevres.gouv.fr/77.159.252.140","443","INFO","25CD4E3D424966B0EE4C4AB030DC9E425D21E25FDE0F925D642F20D6B3B0024C","",""
