"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dordogne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","dordogne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dordogne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","dordogne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","dordogne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","dordogne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","dordogne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","dordogne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","dordogne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","dordogne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dordogne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dordogne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dordogne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dordogne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dordogne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dordogne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dordogne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","dordogne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","dordogne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","dordogne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","dordogne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","dordogne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","dordogne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","dordogne.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","dordogne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","dordogne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","dordogne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","dordogne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","dordogne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","dordogne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","dordogne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","dordogne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","dordogne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","dordogne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dordogne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dordogne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","dordogne.gouv.fr/77.159.252.140","443","INFO","D25784A70018855C43AB8EA5275E4BE0","",""
"cert_serialNumberLen","dordogne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","dordogne.gouv.fr/77.159.252.140","443","INFO","B41E66DD37593710D2B251B500C3C7F84086AB00","",""
"cert_fingerprintSHA256","dordogne.gouv.fr/77.159.252.140","443","INFO","364464FBE6D312219998263655DF3D2F7FD67ED3BD200BD2A87DD3AB0F1C7645","",""
