"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","douane.gouv.fr/194.250.56.167","443","INFO","HTTP","",""
"pre_128cipher","douane.gouv.fr/194.250.56.167","443","INFO","No 128 cipher limit bug","",""
"SSLv2","douane.gouv.fr/194.250.56.167","443","OK","not offered","",""
"SSLv3","douane.gouv.fr/194.250.56.167","443","OK","not offered","",""
"TLS1","douane.gouv.fr/194.250.56.167","443","INFO","not offered","",""
"TLS1_1","douane.gouv.fr/194.250.56.167","443","INFO","not offered","",""
"TLS1_2","douane.gouv.fr/194.250.56.167","443","OK","offered","",""
"TLS1_3","douane.gouv.fr/194.250.56.167","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","douane.gouv.fr/194.250.56.167","443","INFO","http/1.1","",""
"cipherlist_NULL","douane.gouv.fr/194.250.56.167","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","douane.gouv.fr/194.250.56.167","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","douane.gouv.fr/194.250.56.167","443","OK","not offered","","CWE-327"
"cipherlist_LOW","douane.gouv.fr/194.250.56.167","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","douane.gouv.fr/194.250.56.167","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","douane.gouv.fr/194.250.56.167","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","douane.gouv.fr/194.250.56.167","443","OK","offered","",""
"cipherlist_STRONG_FS","douane.gouv.fr/194.250.56.167","443","OK","offered","",""
"cipher_order-tls1_2","douane.gouv.fr/194.250.56.167","443","OK","server","",""
"cipherorder_TLSv1_2","douane.gouv.fr/194.250.56.167","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","douane.gouv.fr/194.250.56.167","443","OK","server","",""
"FS","douane.gouv.fr/194.250.56.167","443","OK","offered","",""
"FS_ciphers","douane.gouv.fr/194.250.56.167","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","douane.gouv.fr/194.250.56.167","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","douane.gouv.fr/194.250.56.167","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","douane.gouv.fr/194.250.56.167","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","douane.gouv.fr/194.250.56.167","443","INFO","yes","",""
"sessionresumption_ticket","douane.gouv.fr/194.250.56.167","443","INFO","supported","",""
"sessionresumption_ID","douane.gouv.fr/194.250.56.167","443","INFO","supported","",""
"TLS_timestamp","douane.gouv.fr/194.250.56.167","443","INFO","random","",""
"cert_compression","douane.gouv.fr/194.250.56.167","443","INFO","N/A","",""
"clientAuth","douane.gouv.fr/194.250.56.167","443","INFO","none","",""
"cert_numbers","douane.gouv.fr/194.250.56.167","443","INFO","1","",""
"cert_signatureAlgorithm","douane.gouv.fr/194.250.56.167","443","OK","SHA256 with RSA","",""
"cert_keySize","douane.gouv.fr/194.250.56.167","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","douane.gouv.fr/194.250.56.167","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","douane.gouv.fr/194.250.56.167","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","douane.gouv.fr/194.250.56.167","443","INFO","1AECDCD78163188EB28B13820B79D0E1","",""
"cert_serialNumberLen","douane.gouv.fr/194.250.56.167","443","INFO","16","",""
"cert_fingerprintSHA1","douane.gouv.fr/194.250.56.167","443","INFO","AD340E16430731C6E255A081455E8D43E9403265","",""
"cert_fingerprintSHA256","douane.gouv.fr/194.250.56.167","443","INFO","FE4181A74A2F42B5353960430D29DBF9B2085315BEEDA19AF1D900DCFF4D2AF1","",""
