"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ecologie.gouv.fr/37.235.89.97","443","INFO","HTTP","",""
"pre_128cipher","ecologie.gouv.fr/37.235.89.97","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ecologie.gouv.fr/37.235.89.97","443","OK","not offered","",""
"SSLv3","ecologie.gouv.fr/37.235.89.97","443","OK","not offered","",""
"TLS1","ecologie.gouv.fr/37.235.89.97","443","INFO","not offered","",""
"TLS1_1","ecologie.gouv.fr/37.235.89.97","443","INFO","not offered","",""
"TLS1_2","ecologie.gouv.fr/37.235.89.97","443","OK","offered","",""
"TLS1_3","ecologie.gouv.fr/37.235.89.97","443","OK","offered with final","",""
"ALPN_HTTP2","ecologie.gouv.fr/37.235.89.97","443","OK","h2","",""
"ALPN","ecologie.gouv.fr/37.235.89.97","443","INFO","http/1.1","",""
"cipherlist_NULL","ecologie.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ecologie.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ecologie.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ecologie.gouv.fr/37.235.89.97","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ecologie.gouv.fr/37.235.89.97","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ecologie.gouv.fr/37.235.89.97","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","ecologie.gouv.fr/37.235.89.97","443","OK","offered","",""
"cipherlist_STRONG_FS","ecologie.gouv.fr/37.235.89.97","443","OK","offered","",""
"cipher_order-tls1_2","ecologie.gouv.fr/37.235.89.97","443","OK","server","",""
"cipherorder_TLSv1_2","ecologie.gouv.fr/37.235.89.97","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","ecologie.gouv.fr/37.235.89.97","443","OK","server","",""
"FS","ecologie.gouv.fr/37.235.89.97","443","OK","offered","",""
"FS_ciphers","ecologie.gouv.fr/37.235.89.97","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","ecologie.gouv.fr/37.235.89.97","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","ecologie.gouv.fr/37.235.89.97","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","ecologie.gouv.fr/37.235.89.97","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","ecologie.gouv.fr/37.235.89.97","443","INFO","yes","",""
"sessionresumption_ticket","ecologie.gouv.fr/37.235.89.97","443","INFO","supported","",""
"sessionresumption_ID","ecologie.gouv.fr/37.235.89.97","443","INFO","supported","",""
"TLS_timestamp","ecologie.gouv.fr/37.235.89.97","443","INFO","random","",""
"certificate_compression","ecologie.gouv.fr/37.235.89.97","443","INFO","none","",""
"clientAuth","ecologie.gouv.fr/37.235.89.97","443","INFO","none","",""
"cert_numbers","ecologie.gouv.fr/37.235.89.97","443","INFO","1","",""
"cert_signatureAlgorithm","ecologie.gouv.fr/37.235.89.97","443","OK","SHA256 with RSA","",""
"cert_keySize","ecologie.gouv.fr/37.235.89.97","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ecologie.gouv.fr/37.235.89.97","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ecologie.gouv.fr/37.235.89.97","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","ecologie.gouv.fr/37.235.89.97","443","INFO","D7615927564C14DE69C282C5A5FE8B66","",""
"cert_serialNumberLen","ecologie.gouv.fr/37.235.89.97","443","INFO","16","",""
"cert_fingerprintSHA1","ecologie.gouv.fr/37.235.89.97","443","INFO","8B50E4C389523E98CC29DCC3180E42F0C8505DF6","",""
"cert_fingerprintSHA256","ecologie.gouv.fr/37.235.89.97","443","INFO","45C8ED218EF772EB49D8D10F66F9E412F84236EBB3FDA7E42585C60E6AE27500","",""
