"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","HTTP","",""
"pre_128cipher","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","No 128 cipher limit bug","",""
"SSLv2","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","",""
"SSLv3","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","",""
"TLS1","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_1","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_2","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","offered","",""
"TLS1_3","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_NULL","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_LOW","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_STRONG_FS","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","offered","",""
"cipher_order-tls1_2","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","server","",""
"cipherorder_TLSv1_2","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","server","",""
"FS","egalite-femmes-hommes.gouv.fr/185.194.82.206","443","OK","offered","",""
