"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","enfance.gouv.fr/185.194.82.206","443","INFO","HTTP","",""
"pre_128cipher","enfance.gouv.fr/185.194.82.206","443","INFO","No 128 cipher limit bug","",""
"SSLv2","enfance.gouv.fr/185.194.82.206","443","OK","not offered","",""
"SSLv3","enfance.gouv.fr/185.194.82.206","443","OK","not offered","",""
"TLS1","enfance.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_1","enfance.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_2","enfance.gouv.fr/185.194.82.206","443","OK","offered","",""
"TLS1_3","enfance.gouv.fr/185.194.82.206","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","enfance.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_NULL","enfance.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","enfance.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","enfance.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_LOW","enfance.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","enfance.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","enfance.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","enfance.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_STRONG_FS","enfance.gouv.fr/185.194.82.206","443","OK","offered","",""
"cipher_order-tls1_2","enfance.gouv.fr/185.194.82.206","443","OK","server","",""
"cipherorder_TLSv1_2","enfance.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","enfance.gouv.fr/185.194.82.206","443","OK","server","",""
"FS","enfance.gouv.fr/185.194.82.206","443","OK","offered","",""
"FS_ciphers","enfance.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","enfance.gouv.fr/185.194.82.206","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","enfance.gouv.fr/185.194.82.206","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","enfance.gouv.fr/185.194.82.206","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","enfance.gouv.fr/185.194.82.206","443","INFO","yes","",""
"sessionresumption_ticket","enfance.gouv.fr/185.194.82.206","443","INFO","not supported","",""
"sessionresumption_ID","enfance.gouv.fr/185.194.82.206","443","INFO","supported","",""
"TLS_timestamp","enfance.gouv.fr/185.194.82.206","443","INFO","random","",""
"cert_compression","enfance.gouv.fr/185.194.82.206","443","INFO","N/A","",""
"clientAuth","enfance.gouv.fr/185.194.82.206","443","INFO","none","",""
"cert_numbers","enfance.gouv.fr/185.194.82.206","443","INFO","1","",""
"cert_signatureAlgorithm","enfance.gouv.fr/185.194.82.206","443","OK","SHA256 with RSA","",""
