"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","eure.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","eure.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","eure.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","eure.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","eure.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","eure.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","eure.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","eure.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","eure.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","eure.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","eure.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","eure.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","eure.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","eure.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","eure.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","eure.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","eure.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","eure.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","eure.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","eure.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","eure.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","eure.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","eure.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","eure.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","eure.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","eure.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","eure.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","eure.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","eure.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","eure.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","eure.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","eure.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","eure.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
