"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","HTTP","",""
"pre_128cipher","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","No 128 cipher limit bug","",""
"SSLv2","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","",""
"SSLv3","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","",""
"TLS1","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered","",""
"TLS1_1","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered","",""
"TLS1_2","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","offered","",""
"TLS1_3","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","http/1.1","",""
"cipherlist_NULL","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","","CWE-327"
"cipherlist_LOW","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","formationgestiondecrise.gouv.fr/54.38.173.236","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","offered","",""
"cipherlist_STRONG_FS","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","offered","",""
"cipher_order-tls1_2","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","server","",""
"cipherorder_TLSv1_2","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","server","",""
"FS","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","offered","",""
"FS_ciphers","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","sect283k1 sect283r1 sect409k1 sect409r1 sect571k1 sect571r1 secp256k1 prime256v1 secp384r1 secp521r1 brainpoolP256r1 brainpoolP384r1 brainpoolP512r1","",""
"TLS_extensions","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","yes","",""
"sessionresumption_ticket","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","supported","",""
"sessionresumption_ID","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","supported","",""
"TLS_timestamp","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","random","",""
"cert_compression","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","N/A","",""
"clientAuth","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","none","",""
"cert_numbers","formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","1","",""
"cert_signatureAlgorithm","formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","SHA256 with RSA","",""
