"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","francestrategie.gouv.fr/217.70.184.55","443","INFO","HTTP","",""
"pre_128cipher","francestrategie.gouv.fr/217.70.184.55","443","INFO","No 128 cipher limit bug","",""
"SSLv2","francestrategie.gouv.fr/217.70.184.55","443","OK","not offered","",""
"SSLv3","francestrategie.gouv.fr/217.70.184.55","443","OK","not offered","",""
"TLS1","francestrategie.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_1","francestrategie.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_2","francestrategie.gouv.fr/217.70.184.55","443","OK","offered","",""
"TLS1_3","francestrategie.gouv.fr/217.70.184.55","443","OK","offered with final","",""
"ALPN","francestrategie.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_NULL","francestrategie.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","francestrategie.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","francestrategie.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_LOW","francestrategie.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","francestrategie.gouv.fr/217.70.184.55","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","francestrategie.gouv.fr/217.70.184.55","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","francestrategie.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_STRONG_FS","francestrategie.gouv.fr/217.70.184.55","443","OK","offered","",""
"cipher_order-tls1_2","francestrategie.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","francestrategie.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","francestrategie.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","francestrategie.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","francestrategie.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","francestrategie.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","francestrategie.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"FS","francestrategie.gouv.fr/217.70.184.55","443","OK","offered","",""
"FS_ciphers","francestrategie.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","francestrategie.gouv.fr/217.70.184.55","443","OK","prime256v1","",""
"TLS_extensions","francestrategie.gouv.fr/217.70.184.55","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","francestrategie.gouv.fr/217.70.184.55","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","francestrategie.gouv.fr/217.70.184.55","443","INFO","yes","",""
"sessionresumption_ticket","francestrategie.gouv.fr/217.70.184.55","443","INFO","supported","",""
"sessionresumption_ID","francestrategie.gouv.fr/217.70.184.55","443","INFO","not supported","",""
"TLS_timestamp","francestrategie.gouv.fr/217.70.184.55","443","INFO","random","",""
"certificate_compression","francestrategie.gouv.fr/217.70.184.55","443","INFO","none","",""
"clientAuth","francestrategie.gouv.fr/217.70.184.55","443","INFO","none","",""
"cert_numbers","francestrategie.gouv.fr/217.70.184.55","443","INFO","1","",""
"cert_signatureAlgorithm","francestrategie.gouv.fr/217.70.184.55","443","OK","SHA256 with RSA","",""
"cert_keySize","francestrategie.gouv.fr/217.70.184.55","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","francestrategie.gouv.fr/217.70.184.55","443","INFO","Digital Signature","",""
"cert_extKeyUsage","francestrategie.gouv.fr/217.70.184.55","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","francestrategie.gouv.fr/217.70.184.55","443","INFO","6B6AAEC245B08E8CAB5B180901D707CC","",""
"cert_serialNumberLen","francestrategie.gouv.fr/217.70.184.55","443","INFO","16","",""
"cert_fingerprintSHA1","francestrategie.gouv.fr/217.70.184.55","443","INFO","99FE5E64CB56BE9698D26A1202A3891452DC1A52","",""
"cert_fingerprintSHA256","francestrategie.gouv.fr/217.70.184.55","443","INFO","694F08E45512C8AC746042DA23CD6B61C52E69A98CDFF54F71896F79D03E917C","",""
