"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","gard.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","gard.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","gard.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","gard.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","gard.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","gard.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","gard.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","gard.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","gard.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","gard.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","gard.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","gard.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","gard.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","gard.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","gard.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","gard.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","gard.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","gard.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","gard.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","gard.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","gard.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","gard.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","gard.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","gard.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","gard.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","gard.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","gard.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","gard.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","gard.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","gard.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","gard.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","gard.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","gard.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","gard.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","gard.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","gard.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","gard.gouv.fr/77.159.252.140","443","INFO","4AB41D7BFE1C1A1BB2C83E370A210E9D","",""
"cert_serialNumberLen","gard.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","gard.gouv.fr/77.159.252.140","443","INFO","C29EFFAE0F4DAA2CF625D4A27B3A9DCA02F43E9F","",""
"cert_fingerprintSHA256","gard.gouv.fr/77.159.252.140","443","INFO","1661E5C6335D4A21602F622A3CD248E409113F716C4887C707D57D7C04641EAF","",""
"cert","gard.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIITTCCBjWgAwIBAgIQSrQde/4cGhuyyD43CiEOnTANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjMxMDAyMjIwMDAwWhcNMjQxMDMxMjI1OTU5WjBwMQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxITAfBgNVBAoMGE1JTklTVEVSRSBERSBMIElOVEVSSUVVUjEZMBcGA1UEAwwQd3d3LmdhcmQuZ291di5mcjETMBEGA1UEBRMKUzI4NjkwMzM1MzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMOJR+Hdc2WkpdaeXm4Hu/4OgjCuZXTjdzLYCwRUd30LQALrbbj4n+iFOCYhsMsze5F/txtVZTPodTlZ9meEuOYaL/uWw4cCwPz5mEGY6GBuMos5vmB0M2sBpsEDOr3LVV2ytqP/QKm3NrUhkBRFnSFqUs6kvsisb/xq+Sd8+y489C1b6NR2k3tKPNiqxd4pKpwn+sF7PQXTMP4vdoJCsY+Zh3iiXazEgEBo6Z3n6w6WpHe3a73xrTIYlDPS4Z3osF22iLl0aMX+asm5vvrpD+IUCKPTyqveKKoxU3cErn4PL3PlhtB6PbzQYfhc5ilWk17q/yzdBBHPUJIv1R+5DqkCAwEAAaOCA9QwggPQMIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDApBgNVHREEIjAgggxnYXJkLmdvdXYuZnKCEHd3dy5nYXJkLmdvdXYuZnIwHQYDVR0OBBYEFPezB5HDK4+4baUC0WG8NaeenpoiMIIBgAYKKwYBBAHWeQIEAgSCAXAEggFsAWoAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYr2dxmpAAAEAwBHMEUCIETsmlr7J2Wm5OqGFparSy4mSczRtKpOl2Nl5S5mWa3qAiEAzMfreeQx1BgRgtMgXef65osm+Dp4WiDQY2B14JxACrIAdwB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYr2dxXJAAAEAwBIMEYCIQCn8lSwRizQFoYmIHuuAQrn+mxLUUxrQJcpE24QNNWMIwIhAItoOsi5o1bDa/ztvOTIx/x9VkoM/f1D4Zqddv9pg1FGAHcASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGK9nceAwAABAMASDBGAiEA1A/TXUoFGCW5D3J+I0rbZVeVxiykdSubsEc/tq3EktUCIQDmlBQYQH3Kw+QXZpnDs/+6HI412xRwFhLQ2wuCLhWRujANBgkqhkiG9w0BAQsFAAOCAgEArZW064RaXKvr7rxMKqQd/XVfW+vKruhYOYxwUtB7zzISql/oJImsbe8CDHTbLgKLyu8BVE5HQWeyr8m/1W+5UHv7TLboStw3hDulELjNke9OkqmRHxw850PNPX3d4L62upbr5bq9ZwHg6+crLkUwrrxOBhZeMarFdA9ouU8c8F4uhw7IMwNKN5OyadLTWfT5X0B2ZUVYhXX/zXQmOFZtlSPrsDAiPWlf02D+a5VAgOlNWDvzIgUPstL+M1zpmK1b6IG6jRCED9hUfILpPCJP7CtrYiVwXKBcuOUIw+A5MWRFKkyOJKmPxdmDjLK6hzwamT385p8SyOEDDUSd7EH7PiXbO+RKLgfRlFMofMALKzLnzHKswLba7TAu36V1VqhUQ4Dlb/nJbJUK8mSv1I6Odgh+tSSZSoAd1LqJRJnpZ+B4S1egYAXEw3EUGeSsfDlW1DjwxwywGPFIWUqRq/vzNhOuwTPC/W8mYQLulBrgNyc8prwRrLkT1ZEbx4SjwHNjrRV8Zt+AhqrKHYPCCvXxdi7qlRTN++oSnJ1iYwEZom8Q/816P2mAbBS3FEUPpq/U1MUX7OCPrkEAtJQ/BLURDhicky1wTnGcwk0mycViw2PgLi531fBYVlhGHUtht/gzl6lLGqRt9DpiWafgfanE74ynIP8MpuTKB4AH7p+4sCM=\n-----END CERTIFICATE-----","",""
"cert_commonName","gard.gouv.fr/77.159.252.140","443","OK","www.gard.gouv.fr","",""
"cert_commonName_wo_SNI","gard.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","gard.gouv.fr/77.159.252.140","443","INFO","gard.gouv.fr www.gard.gouv.fr","",""
"cert_trust","gard.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","gard.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","gard.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","gard.gouv.fr/77.159.252.140","443","OK","258 >= 60 days","",""
"cert_notBefore","gard.gouv.fr/77.159.252.140","443","INFO","2023-10-02 22:00","",""
"cert_notAfter","gard.gouv.fr/77.159.252.140","443","OK","2024-10-31 22:59","",""
"cert_extlifeSpan","gard.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","gard.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","gard.gouv.fr/77.159.252.140","443","INFO","http://crl.dhimyotis.com/servicesca.crl http://crl.certigna.fr/servicesca.crl","",""
"cert_ocspURL","gard.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","gard.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","gard.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","gard.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","gard.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","gard.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","gard.gouv.fr/77.159.252.140","443","INFO","no","",""
