"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","gironde.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","gironde.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","gironde.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","gironde.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","gironde.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","gironde.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","gironde.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","gironde.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","gironde.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","gironde.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","gironde.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","gironde.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","gironde.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","gironde.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","gironde.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","gironde.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","gironde.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","gironde.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","gironde.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","gironde.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","gironde.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","gironde.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","gironde.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","gironde.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","gironde.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","gironde.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","gironde.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","gironde.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","gironde.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","gironde.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","gironde.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","gironde.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","gironde.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","gironde.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","gironde.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","gironde.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","gironde.gouv.fr/77.159.252.140","443","INFO","41FA19B0A162AC97E3020ECFCBB20D87","",""
"cert_serialNumberLen","gironde.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","gironde.gouv.fr/77.159.252.140","443","INFO","DD952750444EEB65F900F8EFDF785FABEE9B7B44","",""
"cert_fingerprintSHA256","gironde.gouv.fr/77.159.252.140","443","INFO","C64142CA50E9C96349DE30CB5257F3FC779ED896B4B57C902289CCF73AF82DB8","",""
