"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","haute-garonne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","haute-garonne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","haute-garonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","haute-garonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","haute-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","haute-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","haute-garonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","haute-garonne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","haute-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","haute-garonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","haute-garonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","haute-garonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","haute-garonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","haute-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","haute-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","haute-garonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","haute-garonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","haute-garonne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","haute-garonne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","haute-garonne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","haute-garonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","haute-garonne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","haute-garonne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
