"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","haute-marne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","haute-marne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","haute-marne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","haute-marne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","haute-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","haute-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","haute-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","haute-marne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","haute-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","haute-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","haute-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","haute-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","haute-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","haute-marne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","haute-marne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","haute-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","haute-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","haute-marne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","haute-marne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","haute-marne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","haute-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","haute-marne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","haute-marne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","haute-marne.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","haute-marne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","haute-marne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","haute-marne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","haute-marne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","haute-marne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","haute-marne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","haute-marne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","haute-marne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","haute-marne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","haute-marne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","haute-marne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","haute-marne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","haute-marne.gouv.fr/77.159.252.140","443","INFO","28C52F9001867877DB6D9F73F4607275","",""
"cert_serialNumberLen","haute-marne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","haute-marne.gouv.fr/77.159.252.140","443","INFO","6A518A252C4C0B55C700F3B1AC8B212A7A9F6485","",""
