"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","haute-savoie.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","haute-savoie.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","haute-savoie.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","haute-savoie.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","haute-savoie.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","haute-savoie.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","haute-savoie.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","haute-savoie.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","haute-savoie.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","haute-savoie.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","haute-savoie.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","haute-savoie.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","haute-savoie.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","haute-savoie.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","haute-savoie.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","haute-savoie.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","haute-savoie.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","haute-savoie.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","haute-savoie.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","haute-savoie.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","haute-savoie.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","haute-savoie.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","haute-savoie.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","haute-savoie.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","haute-savoie.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","haute-savoie.gouv.fr/77.159.252.140","443","INFO","yes","",""
