"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","ille-et-vilaine.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","833A4143954C413C6BE28E893DB213AF","",""
"cert_serialNumberLen","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","D65B5746AB77ED450D64976E4404B1AECD727316","",""
"cert_fingerprintSHA256","ille-et-vilaine.gouv.fr/77.159.252.140","443","INFO","24D104D2A042A13594F509DD453204C90BDED12E2EE764517C5B3E7FB073D889","",""
