"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ira-lyon.gouv.fr/94.228.187.212","443","INFO","HTTP","",""
"pre_128cipher","ira-lyon.gouv.fr/94.228.187.212","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ira-lyon.gouv.fr/94.228.187.212","443","OK","not offered","",""
"SSLv3","ira-lyon.gouv.fr/94.228.187.212","443","OK","not offered","",""
"TLS1","ira-lyon.gouv.fr/94.228.187.212","443","LOW","offered (deprecated)","",""
"TLS1_1","ira-lyon.gouv.fr/94.228.187.212","443","LOW","offered (deprecated)","",""
"TLS1_2","ira-lyon.gouv.fr/94.228.187.212","443","OK","offered","",""
"TLS1_3","ira-lyon.gouv.fr/94.228.187.212","443","OK","offered with final","",""
"ALPN","ira-lyon.gouv.fr/94.228.187.212","443","INFO","http/1.1","",""
"cipherlist_NULL","ira-lyon.gouv.fr/94.228.187.212","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ira-lyon.gouv.fr/94.228.187.212","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ira-lyon.gouv.fr/94.228.187.212","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ira-lyon.gouv.fr/94.228.187.212","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ira-lyon.gouv.fr/94.228.187.212","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ira-lyon.gouv.fr/94.228.187.212","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","ira-lyon.gouv.fr/94.228.187.212","443","OK","offered","",""
"cipherlist_STRONG_FS","ira-lyon.gouv.fr/94.228.187.212","443","OK","offered","",""
"cipher_order-tls1","ira-lyon.gouv.fr/94.228.187.212","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_xc014","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x39","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x88","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_x35","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x84","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_xc013","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x33","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x9a","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x9a     DHE-RSA-SEED-SHA                  DH 2048    SEED        128      TLS_DHE_RSA_WITH_SEED_CBC_SHA","",""
"cipher-tls1_x45","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x45     DHE-RSA-CAMELLIA128-SHA           DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-tls1_x2f","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x96","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x96     SEED-SHA                          RSA        SEED        128      TLS_RSA_WITH_SEED_CBC_SHA","",""
"cipher-tls1_x41","ira-lyon.gouv.fr/94.228.187.212","443","LOW","TLSv1   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
