"id","fqdn/ip","port","severity","finding","cve","cwe"
"scanProblem","journal-officiel.gouv.fr/171.33.103.241","443","FATAL","Couldn't connect to 171.33.103.241:443, proceeding with next IP (if any)","",""
"service","journal-officiel.gouv.fr/109.232.232.161","443","INFO","HTTP","",""
"pre_128cipher","journal-officiel.gouv.fr/109.232.232.161","443","INFO","No 128 cipher limit bug","",""
"SSLv2","journal-officiel.gouv.fr/109.232.232.161","443","OK","not offered","",""
"SSLv3","journal-officiel.gouv.fr/109.232.232.161","443","OK","not offered","",""
"TLS1","journal-officiel.gouv.fr/109.232.232.161","443","INFO","not offered","",""
"TLS1_1","journal-officiel.gouv.fr/109.232.232.161","443","INFO","not offered","",""
"TLS1_2","journal-officiel.gouv.fr/109.232.232.161","443","OK","offered","",""
"TLS1_3","journal-officiel.gouv.fr/109.232.232.161","443","OK","offered with final","",""
"ALPN_HTTP2","journal-officiel.gouv.fr/109.232.232.161","443","OK","h2","",""
"ALPN","journal-officiel.gouv.fr/109.232.232.161","443","INFO","http/1.1","",""
"cipherlist_NULL","journal-officiel.gouv.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","journal-officiel.gouv.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","journal-officiel.gouv.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_LOW","journal-officiel.gouv.fr/109.232.232.161","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","journal-officiel.gouv.fr/109.232.232.161","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","journal-officiel.gouv.fr/109.232.232.161","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","journal-officiel.gouv.fr/109.232.232.161","443","INFO","not offered","",""
"cipherlist_STRONG_FS","journal-officiel.gouv.fr/109.232.232.161","443","OK","offered","",""
"cipher_order-tls1_2","journal-officiel.gouv.fr/109.232.232.161","443","OK","server","",""
"cipherorder_TLSv1_2","journal-officiel.gouv.fr/109.232.232.161","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","journal-officiel.gouv.fr/109.232.232.161","443","OK","server","",""
"FS","journal-officiel.gouv.fr/109.232.232.161","443","OK","offered","",""
"FS_ciphers","journal-officiel.gouv.fr/109.232.232.161","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","journal-officiel.gouv.fr/109.232.232.161","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","journal-officiel.gouv.fr/109.232.232.161","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","journal-officiel.gouv.fr/109.232.232.161","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","journal-officiel.gouv.fr/109.232.232.161","443","INFO","yes","",""
"sessionresumption_ticket","journal-officiel.gouv.fr/109.232.232.161","443","INFO","not supported","",""
"sessionresumption_ID","journal-officiel.gouv.fr/109.232.232.161","443","INFO","not supported","",""
"TLS_timestamp","journal-officiel.gouv.fr/109.232.232.161","443","INFO","random","",""
"certificate_compression","journal-officiel.gouv.fr/109.232.232.161","443","INFO","none","",""
"clientAuth","journal-officiel.gouv.fr/109.232.232.161","443","INFO","none","",""
"cert_numbers","journal-officiel.gouv.fr/109.232.232.161","443","INFO","1","",""
"cert_signatureAlgorithm","journal-officiel.gouv.fr/109.232.232.161","443","OK","SHA256 with RSA","",""
"cert_keySize","journal-officiel.gouv.fr/109.232.232.161","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","journal-officiel.gouv.fr/109.232.232.161","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","journal-officiel.gouv.fr/109.232.232.161","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","journal-officiel.gouv.fr/109.232.232.161","443","INFO","C04AD535628A7DE92DF69F228BB6DD54","",""
"cert_serialNumberLen","journal-officiel.gouv.fr/109.232.232.161","443","INFO","16","",""
"cert_fingerprintSHA1","journal-officiel.gouv.fr/109.232.232.161","443","INFO","1A0E9C47E909869F523E96DE6232D92B8FC61069","",""
"cert_fingerprintSHA256","journal-officiel.gouv.fr/109.232.232.161","443","INFO","748515155D83E92E675B3D152EEA96AE4508C90D6DAE63689B8743B091DADBB5","",""
