"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","justice.gouv.fr/185.24.184.182","443","INFO","HTTP","",""
"pre_128cipher","justice.gouv.fr/185.24.184.182","443","INFO","No 128 cipher limit bug","",""
"SSLv2","justice.gouv.fr/185.24.184.182","443","OK","not offered","",""
"SSLv3","justice.gouv.fr/185.24.184.182","443","OK","not offered","",""
"TLS1","justice.gouv.fr/185.24.184.182","443","INFO","not offered","",""
"TLS1_1","justice.gouv.fr/185.24.184.182","443","INFO","not offered","",""
"TLS1_2","justice.gouv.fr/185.24.184.182","443","OK","offered","",""
"TLS1_3","justice.gouv.fr/185.24.184.182","443","OK","offered with final","",""
"ALPN","justice.gouv.fr/185.24.184.182","443","INFO","not offered","",""
"cipherlist_NULL","justice.gouv.fr/185.24.184.182","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","justice.gouv.fr/185.24.184.182","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","justice.gouv.fr/185.24.184.182","443","OK","not offered","","CWE-327"
"cipherlist_LOW","justice.gouv.fr/185.24.184.182","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","justice.gouv.fr/185.24.184.182","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","justice.gouv.fr/185.24.184.182","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","justice.gouv.fr/185.24.184.182","443","INFO","not offered","",""
"cipherlist_STRONG_FS","justice.gouv.fr/185.24.184.182","443","OK","offered","",""
"cipher_order-tls1_2","justice.gouv.fr/185.24.184.182","443","OK","server","",""
"cipherorder_TLSv1_2","justice.gouv.fr/185.24.184.182","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","justice.gouv.fr/185.24.184.182","443","OK","server","",""
"FS","justice.gouv.fr/185.24.184.182","443","OK","offered","",""
"FS_ciphers","justice.gouv.fr/185.24.184.182","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","justice.gouv.fr/185.24.184.182","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","justice.gouv.fr/185.24.184.182","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","justice.gouv.fr/185.24.184.182","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","justice.gouv.fr/185.24.184.182","443","INFO","yes","",""
"sessionresumption_ticket","justice.gouv.fr/185.24.184.182","443","INFO","not supported","",""
"sessionresumption_ID","justice.gouv.fr/185.24.184.182","443","INFO","supported","",""
"TLS_timestamp","justice.gouv.fr/185.24.184.182","443","INFO","random","",""
"certificate_compression","justice.gouv.fr/185.24.184.182","443","INFO","none","",""
"clientAuth","justice.gouv.fr/185.24.184.182","443","INFO","none","",""
"cert_numbers","justice.gouv.fr/185.24.184.182","443","INFO","1","",""
"cert_signatureAlgorithm","justice.gouv.fr/185.24.184.182","443","OK","SHA256 with RSA","",""
"cert_keySize","justice.gouv.fr/185.24.184.182","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","justice.gouv.fr/185.24.184.182","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","justice.gouv.fr/185.24.184.182","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","justice.gouv.fr/185.24.184.182","443","INFO","C31DC1A5018033D71FFDB8FD2393476F","",""
"cert_serialNumberLen","justice.gouv.fr/185.24.184.182","443","INFO","16","",""
"cert_fingerprintSHA1","justice.gouv.fr/185.24.184.182","443","INFO","C67D3F88071F57AC249F915214B421610501E5DF","",""
"cert_fingerprintSHA256","justice.gouv.fr/185.24.184.182","443","INFO","20F0577A9C2FC07BCB2C7005C17F9FCC36D7189F618BB4CC79EE3035A1F6EFBF","",""
"cert","justice.gouv.fr/185.24.184.182","443","INFO","-----BEGIN CERTIFICATE-----\nMIIKIjCCCAqgAwIBAgIRAMMdwaUBgDPXH/24/SOTR28wDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTIzMDYxMzIyMDAwMFoXDTI0MDYxMjIxNTk1OVowcjELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSAwHgYDVQQKDBdNSU5JU1RFUkUgREUgTEEgSlVTVElDRTEcMBoGA1UEAwwTd3d3Lmp1c3RpY2UuZ291di5mcjETMBEGA1UEBRMKUzI3NTg3MDUxNTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALfCHhYXvoFA/kqVo2lC+/K9vAztSxRIYI9245lm3qYuEezlA6+88UxCOYpVXenysj+RdNBwXvdA1P9+4CW3c5mx9Eue0OCloVjAAKV8SYigPK1kbMaQKDUF7+o21rQO7cJScTRvJZmUdy0wrcHz8zDbmG9bLez/6YnqNwBvYRcw/RLTuldu8GOXZTArqyX+wFX9PYRIqZrhL8N6KVPfmREs0rfY09yycJ7Kzl8QQDnYQiT/8ofEqhVaUqMS4xKnGusH6BOEDiA3O3+/paEGk2iiq8MHR0GhmxAATg0S335vttpdHwmMH7MhBSTQX2zkBKWfMBkTeuftrjMHOy2d77UCAwEAAaOCBaYwggWiMIHkBggrBgEFBQcBAQSB1zCB1DA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAkGA1UdEwQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDCCAfoGA1UdEQSCAfEwggHtgiR3d3cuY2FydGUtanVkaWNpYWlyZS5qdXN0aWNlLmdvdXYuZnKCJ3d3dy5lbmxldmVtZW50LXBhcmVudGFsLmp1c3RpY2UuZ291di5mcoIad3d3LnRleHRlcy5qdXN0aWNlLmdvdXYuZnKCNHd3dy5jb21taXNzaW9uLXB1YmxpY2F0aW9ucy1qZXVuZXNzZS5qdXN0aWNlLmdvdXYuZnKCGHBhY3MtajIxLmp1c3RpY2UuZ291di5mcoITd3d3Lmp1c3RpY2UuZ291di5mcoIPanVzdGljZS5nb3V2LmZygjJ3d3cuZW50cmFpZGUtY2l2aWxlLWludGVybmF0aW9uYWxlLmp1c3RpY2UuZ291di5mcoIdd3d3LmFubnVhaXJlcy5qdXN0aWNlLmdvdXYuZnKCG3d3dy5tZXRpZXJzLmp1c3RpY2UuZ291di5mcoIXd3d3LmFkby5qdXN0aWNlLmdvdXYuZnKCInd3dy5jYXJ0ZS1kZS12b2V1eC5qdXN0aWNlLmdvdXYuZnKCF2NvbWVkZWMuanVzdGljZS5nb3V2LmZyghp3d3cucHJlc3NlLmp1c3RpY2UuZ291di5mcoIod3d3LmFyY2hpdmVzLWp1ZGljaWFpcmVzLmp1c3RpY2UuZ291di5mcjAdBgNVHQ4EFgQU6GskpZOlEdzrfcANZpzA4jrd954wggF/BgorBgEEAdZ5AgQCBIIBbwSCAWsBaQB2AO7N0GTV2xrOxVy3nbTNE6Iyh0Z8vOzew1FIWUZxH7WbAAABiLqRQfMAAAQDAEcwRQIhAOxF/qE6NI2YXbx4tzWJTJVLSM/5R0hL9BWnFCZp39hvAiB0HN8h8PObJg3eCTQmEVgnxkK263fqyYnuYXIZTBXS8AB2AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABiLqRQk0AAAQDAEcwRQIgEkT+3vYBKxMQLzAlRlrSAJa/MvQ/ZWV955onuFEGHVkCIQCKoOLlDXpJqYV8g2yhpJ00g20sV01QNCOunTS82fCWdAB3AFWB1MIWkDYBSuoLm1c8U/DA5Dh4cCUIFy+jqh0HE9MMAAABiLqRRMEAAAQDAEgwRgIhAP+n8CfT9E2k51q6OX3dHQWcSBxg4jyK/N7sLLHhfJqzAiEAs5n4mbZ0yGTikdalwLydvB26bGHqORNLa46EJ12j3+MwDQYJKoZIhvcNAQELBQADggIBAE4kPTqXgnvCEtU3IWiwMpZD28DQl2McXpLrO/kGdStvyrkhC8LfuJB80jZ2RSWTBuaIsXFjYbiGR64GmUpkJdlx7222YboaS7M3xYcb//WNo7mWNqZHepLtZbte+bCtR3gJjKDSPVtlcaBbfmq48UE2Pl+vvzoaSkJb//RGx5CUSmdQRiTy2EwA5r6fvgPK29z1r9MLig1VVSkJ3UpRy8w4nKBxZYCt5VRi7gMoS5P9B/R80uoTRLy12M+20lQCMnTC2JuR+Xa84x0ii3OmLhnzNnpu9JAdMiDnWMJ3A6rKDgwXjRTJn+bY5kjf43klKLNL56D7t9RH7RameGYeqwRcTCkR/6UIjUDgkT9OvQQ9jpi3GwCMJSlpfl2ZdCMW+LInsfxYt5KeiN6GeIoR5cWpabZ8cZKHFH+TFloawP8l9b4GcVOApqE5KRS/vWN5FGLGmVYMAcyZO5qsMB5dHpCyK+mLS7aaJN52B+YqHFaVuXcZLgTkIL0UsJgiCJFdzAIpK/A78bVQrgoZdtN1+ofrat0oeBlMYaUDok7vVr7dE9Dq9jm2XW6VTCRNJrVyXUjtq4HjgL7PO8uRdeMSXrI4jrNsvnbQarSuKNqQpohKVBNEAuXVlZDb9l8fUcB/fp2ksAkxNqQt7NKudjMWa4dSFrYMBfh6FzJvJQTFEiHr\n-----END CERTIFICATE-----","",""
"cert_commonName","justice.gouv.fr/185.24.184.182","443","OK","www.justice.gouv.fr","",""
"cert_commonName_wo_SNI","justice.gouv.fr/185.24.184.182","443","INFO","www.justice.gouv.fr","",""
