"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","HTTP","",""
"pre_128cipher","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","",""
"SSLv3","lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","",""
"TLS1","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_1","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_2","lafrenchtech.gouv.fr/80.87.236.17","443","OK","offered","",""
"TLS1_3","lafrenchtech.gouv.fr/80.87.236.17","443","OK","offered with final","",""
"ALPN","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","http/1.1","",""
"cipherlist_NULL","lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"cipherlist_STRONG_FS","lafrenchtech.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipher_order-tls1_2","lafrenchtech.gouv.fr/80.87.236.17","443","OK","server","",""
"cipherorder_TLSv1_2","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","lafrenchtech.gouv.fr/80.87.236.17","443","OK","server","",""
"FS","lafrenchtech.gouv.fr/80.87.236.17","443","OK","offered","",""
"FS_ciphers","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","lafrenchtech.gouv.fr/80.87.236.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","yes","",""
"sessionresumption_ticket","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","supported","",""
"sessionresumption_ID","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not supported","",""
"TLS_timestamp","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","random","",""
"certificate_compression","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","none","",""
"clientAuth","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","none","",""
"cert_numbers","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","1","",""
"cert_signatureAlgorithm","lafrenchtech.gouv.fr/80.87.236.17","443","OK","SHA384 with RSA","",""
"cert_keySize","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","19DDD82BFF15462256B1924470743F35","",""
"cert_serialNumberLen","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","16","",""
"cert_fingerprintSHA1","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","02D7C6C41FC6F3628DAE1ED2000D19DDB9068E75","",""
"cert_fingerprintSHA256","lafrenchtech.gouv.fr/80.87.236.17","443","INFO","B20D9D233ABDDF5D12382014D89D031D36AD84F390C92F0BBBC1617452FA09B2","",""
