"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","loire.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","loire.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","loire.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","loire.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","loire.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","loire.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","loire.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","loire.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","loire.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","loire.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","loire.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","loire.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","loire.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","loire.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","loire.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","loire.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","loire.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","loire.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","loire.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","loire.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","loire.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","loire.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","loire.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","loire.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","loire.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","loire.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","loire.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","loire.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","loire.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","loire.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","loire.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","loire.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","loire.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","loire.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","loire.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","loire.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","loire.gouv.fr/77.159.252.140","443","INFO","2D0C6E23C9D5F309D998DB9B261D7EB3","",""
"cert_serialNumberLen","loire.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","loire.gouv.fr/77.159.252.140","443","INFO","66E24D8255947A83C7245A283DA2EAB046EC25B8","",""
"cert_fingerprintSHA256","loire.gouv.fr/77.159.252.140","443","INFO","2793571757DC1CCCDC83DDA8F23DC9E2D086CFF087AFED635551AB5CCDB9FD23","",""
"cert","loire.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIITjCCBjagAwIBAgIQLQxuI8nV8wnZmNubJh1+szANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjMwNjI2MjIwMDAwWhcNMjQwNjI1MjE1OTU5WjBxMQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxITAfBgNVBAoMGE1JTklTVEVSRSBERSBMIElOVEVSSUVVUjEaMBgGA1UEAwwRd3d3LmxvaXJlLmdvdXYuZnIxEzARBgNVBAUTClMyNzcxNDE3NDIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDjcHU7jXgootpmxrhJSq19I4/nmA5VGEWDdFJxyjvan5XfhE0KTUxNe7F4mC7BwtStV6hrLVyfMWMomgrYZKGRjVuPpR0pQ1Idc2XZ+TWXWhTro7ZDIxNje8vc71tJdvhSzB7wvKy85QWI11hROaU7+LXziHlTMwJ/++OmY3XYxkA1kJoNAVlGUHOgFxUzXRfkR+3D1ghO9Up+xL8eTJizLVfTAGOAfb1jkQTocOYCp/Mb5c/+lTIOrBzr2laN8sbxrGymj1GRcUI75y9oNcYBPAXSivb4d4olSbdNF0kyIKL/VwcKlErExMNc+mcyNcnVNPyuwiB6dxYqWIsQfVKXAgMBAAGjggPUMIID0DCB5AYIKwYBBQUHAQEEgdcwgdQwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAJBgNVHRMEAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwKwYDVR0RBCQwIoINbG9pcmUuZ291di5mcoIRd3d3LmxvaXJlLmdvdXYuZnIwHQYDVR0OBBYEFPt1tBtwgqJYmkp02n05YjL9BWABMIIBfgYKKwYBBAHWeQIEAgSCAW4EggFqAWgAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAYj8Uw6PAAAEAwBHMEUCIBU3eHYAImjHbTYUQXIGZye2jayMbqO6T5OUDcLVfmguAiEAgC2Yq8z4OwiZ6VHyI68NImadluXR25VkQ2MsUBoAOikAdgB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYj8Uw74AAAEAwBHMEUCIAJgluVr812WWyw5GU0Rl5+WFPlel6KDQivf73oMZqZxAiEA7gbnhVa0e+9zx/KO5/zv/YonW54TMM+100/DK/HtKpEAdgA7U3d1Pi25gE6LMFsG/kA7Z9hPw/THvQANLXJv4frUFwAAAYj8UxBkAAAEAwBHMEUCIQCkRsmEFYrdth3Rw9swYWtK5IUHU/UWQ4zHuXVxxeUV0QIgZJkJcH2zcOCHPGpk1oUHi6jY4gUm02wvveqPCf7R9zEwDQYJKoZIhvcNAQELBQADggIBAJohei4rugaLDEQxFoD18IZhB9+vtFeEYf0hWsmPFg44a0ZEtR4ZXJdqBCDcU0CrlkH/PBSHd9qk9oSzM4DcIOvFKsKcyl2Umkh5A8VXaRQ2gU4mZC8rUHGIfTIbE+S9Lvpsyy9rFTVhIDkltgW8kCPtqxczZipck/M0UUf3ewsGGs6JHRcZPpsXj2hfwREo0fFCVETO+SFbUvItqbIuv/iM3acAChESGtXpiYkEUqZy2a/fiqj9Isrv/PJBv62VfNxdWSYUKFrr8TVYBKbwpsAeq1XzQeA2edMYQKR9deOrZ3Ghs8jxpSJX3CvXlyIqOS3iJNgNV+4Z6XGnK3I8TNeUWl40XkRMHIuM46h0/O55cl00juLcTOX88KfS+hEI72P/4upnPmzSOqqZtbd5OQVwOFSjdHK+9IiH+fsF0lYf9HMg6YJYHE1NjRA6nS7+VOsswSWjw+yEX5v8OKAeMBNlq4d4FQoPSpYtNeQHEerPqjCAcUroopUH49rtQXU6OJThfvI8qUncufEkRttFkrU2u0AJ6kc4raRS0z6Ph35BlqTWkkWf+GfyyoYMBKgmMZozlM13QFtaXS+Xk56pHhivITeZXQdAexnCrfchm79SCN37sMT1MOQIVv4AO2ejwxSGDLnXLU9nCiILlJwuVhMhj/IpCUbKp1AvMw6sJCpM\n-----END CERTIFICATE-----","",""
"cert_commonName","loire.gouv.fr/77.159.252.140","443","OK","www.loire.gouv.fr","",""
"cert_commonName_wo_SNI","loire.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","loire.gouv.fr/77.159.252.140","443","INFO","loire.gouv.fr www.loire.gouv.fr","",""
"cert_trust","loire.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","loire.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","loire.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","loire.gouv.fr/77.159.252.140","443","OK","126 >= 60 days","",""
"cert_notBefore","loire.gouv.fr/77.159.252.140","443","INFO","2023-06-26 22:00","",""
"cert_notAfter","loire.gouv.fr/77.159.252.140","443","OK","2024-06-25 21:59","",""
"cert_extlifeSpan","loire.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","loire.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","loire.gouv.fr/77.159.252.140","443","INFO","http://crl.dhimyotis.com/servicesca.crl http://crl.certigna.fr/servicesca.crl","",""
"cert_ocspURL","loire.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","loire.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","loire.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","loire.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","loire.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","loire.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","loire.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","loire.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
