"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","loiret.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","loiret.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","loiret.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","loiret.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","loiret.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","loiret.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","loiret.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","loiret.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","loiret.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","loiret.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","loiret.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","loiret.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","loiret.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","loiret.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","loiret.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","loiret.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","loiret.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","loiret.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","loiret.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","loiret.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","loiret.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","loiret.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","loiret.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","loiret.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","loiret.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","loiret.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","loiret.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","loiret.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","loiret.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","loiret.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","loiret.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","loiret.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","loiret.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","loiret.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","loiret.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","loiret.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","loiret.gouv.fr/77.159.252.140","443","INFO","594D8991C156B37DE7415989FCA188C0","",""
"cert_serialNumberLen","loiret.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","loiret.gouv.fr/77.159.252.140","443","INFO","F36661621340773E8691014BEABE1AAAF0DE60DC","",""
