"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lot.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","lot.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lot.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","lot.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","lot.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","lot.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","lot.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","lot.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","lot.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","lot.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lot.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lot.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lot.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lot.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lot.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","lot.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","lot.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","lot.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","lot.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","lot.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","lot.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","lot.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","lot.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","lot.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","lot.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","lot.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","lot.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","lot.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","lot.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","lot.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","lot.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","lot.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","lot.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","lot.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lot.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lot.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","lot.gouv.fr/77.159.252.140","443","INFO","C0AF5FDAC141E9620F057C6CFEDEDDDC","",""
"cert_serialNumberLen","lot.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","lot.gouv.fr/77.159.252.140","443","INFO","8D7F7E0084EBFACAC0696ACFFF77379B69BC3319","",""
"cert_fingerprintSHA256","lot.gouv.fr/77.159.252.140","443","INFO","73A90952AC370CBD967DA73B5AF23CC2527B79DC4E6A10EDB50C0DC815F17DCA","",""
