"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","maisondelautisme.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","maisondelautisme.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","maisondelautisme.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","maisondelautisme.gouv.fr/20.74.14.77","443","OK","offered with final","",""
"ALPN_HTTP2","maisondelautisme.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","maisondelautisme.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","maisondelautisme.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","maisondelautisme.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","maisondelautisme.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG_FS","maisondelautisme.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order-tls1_2","maisondelautisme.gouv.fr/20.74.14.77","443","OK","server","",""
"cipherorder_TLSv1_2","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","maisondelautisme.gouv.fr/20.74.14.77","443","OK","server","",""
"FS","maisondelautisme.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","maisondelautisme.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","random","",""
"certificate_compression","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","none","",""
"clientAuth","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","maisondelautisme.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","03D43951689BE91E4D798E22F5555F728013","",""
"cert_serialNumberLen","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","18","",""
"cert_fingerprintSHA1","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","4C4E202947A11C4D6F4036CF859CAF8817F086C1","",""
"cert_fingerprintSHA256","maisondelautisme.gouv.fr/20.74.14.77","443","INFO","CE16D8018E33DD8D0B5D3ACC2C0360210F727383B4FD2C397351B617CF372D59","",""
