"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","martinique.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","martinique.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","martinique.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","martinique.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","martinique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","martinique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","martinique.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","martinique.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","martinique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","martinique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","martinique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","martinique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","martinique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","martinique.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","martinique.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","martinique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","martinique.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","martinique.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","martinique.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","martinique.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","martinique.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","martinique.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","martinique.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","martinique.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","martinique.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","martinique.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","martinique.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","martinique.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","martinique.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","martinique.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","martinique.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","martinique.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","martinique.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","martinique.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","martinique.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","martinique.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","martinique.gouv.fr/77.159.252.140","443","INFO","D10E1D3DD671DE0BA256DC64078D78BD","",""
"cert_serialNumberLen","martinique.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","martinique.gouv.fr/77.159.252.140","443","INFO","6E42B7AA4D8B3B27073B021D380170E6A6B75906","",""
"cert_fingerprintSHA256","martinique.gouv.fr/77.159.252.140","443","INFO","F946CA3F7AC6594BF218A4E7BB45F82BCA294BC3E7E8CCBA161D86996FA78073","",""
