"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","meuse.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","meuse.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","meuse.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","meuse.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","meuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","meuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","meuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","meuse.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","meuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","meuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","meuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","meuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","meuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","meuse.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","meuse.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","meuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","meuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","meuse.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","meuse.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","meuse.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","meuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","meuse.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","meuse.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
