"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","modernisation.gouv.fr/80.87.236.17","443","INFO","HTTP","",""
"pre_128cipher","modernisation.gouv.fr/80.87.236.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","modernisation.gouv.fr/80.87.236.17","443","OK","not offered","",""
"SSLv3","modernisation.gouv.fr/80.87.236.17","443","OK","not offered","",""
"TLS1","modernisation.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_1","modernisation.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_2","modernisation.gouv.fr/80.87.236.17","443","OK","offered","",""
"TLS1_3","modernisation.gouv.fr/80.87.236.17","443","OK","offered with final","",""
"ALPN","modernisation.gouv.fr/80.87.236.17","443","INFO","http/1.1","",""
"cipherlist_NULL","modernisation.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","modernisation.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","modernisation.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","modernisation.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","modernisation.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","modernisation.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","modernisation.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"cipherlist_STRONG_FS","modernisation.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipher_order-tls1_2","modernisation.gouv.fr/80.87.236.17","443","OK","server","",""
"cipherorder_TLSv1_2","modernisation.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","modernisation.gouv.fr/80.87.236.17","443","OK","server","",""
"FS","modernisation.gouv.fr/80.87.236.17","443","OK","offered","",""
"FS_ciphers","modernisation.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","modernisation.gouv.fr/80.87.236.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","modernisation.gouv.fr/80.87.236.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","modernisation.gouv.fr/80.87.236.17","443","INFO","valid for 300 seconds only (<daily)","",""
