"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","numerique.gouv.fr/51.68.121.50","443","INFO","HTTP","",""
"pre_128cipher","numerique.gouv.fr/51.68.121.50","443","INFO","No 128 cipher limit bug","",""
"SSLv2","numerique.gouv.fr/51.68.121.50","443","OK","not offered","",""
"SSLv3","numerique.gouv.fr/51.68.121.50","443","OK","not offered","",""
"TLS1","numerique.gouv.fr/51.68.121.50","443","INFO","not offered","",""
"TLS1_1","numerique.gouv.fr/51.68.121.50","443","INFO","not offered","",""
"TLS1_2","numerique.gouv.fr/51.68.121.50","443","OK","offered","",""
"TLS1_3","numerique.gouv.fr/51.68.121.50","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","numerique.gouv.fr/51.68.121.50","443","OK","h2","",""
"ALPN","numerique.gouv.fr/51.68.121.50","443","INFO","http/1.1","",""
"cipherlist_NULL","numerique.gouv.fr/51.68.121.50","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","numerique.gouv.fr/51.68.121.50","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","numerique.gouv.fr/51.68.121.50","443","OK","not offered","","CWE-327"
"cipherlist_LOW","numerique.gouv.fr/51.68.121.50","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","numerique.gouv.fr/51.68.121.50","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","numerique.gouv.fr/51.68.121.50","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","numerique.gouv.fr/51.68.121.50","443","INFO","not offered","",""
"cipherlist_STRONG_FS","numerique.gouv.fr/51.68.121.50","443","OK","offered","",""
"cipher_order-tls1_2","numerique.gouv.fr/51.68.121.50","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","numerique.gouv.fr/51.68.121.50","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","numerique.gouv.fr/51.68.121.50","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","numerique.gouv.fr/51.68.121.50","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","numerique.gouv.fr/51.68.121.50","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","numerique.gouv.fr/51.68.121.50","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","numerique.gouv.fr/51.68.121.50","443","INFO","NOT a cipher order configured","",""
"FS","numerique.gouv.fr/51.68.121.50","443","OK","offered","",""
"FS_ciphers","numerique.gouv.fr/51.68.121.50","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","numerique.gouv.fr/51.68.121.50","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","numerique.gouv.fr/51.68.121.50","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","numerique.gouv.fr/51.68.121.50","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","numerique.gouv.fr/51.68.121.50","443","INFO","yes","",""
"sessionresumption_ticket","numerique.gouv.fr/51.68.121.50","443","INFO","not supported","",""
"sessionresumption_ID","numerique.gouv.fr/51.68.121.50","443","INFO","not supported","",""
"TLS_timestamp","numerique.gouv.fr/51.68.121.50","443","INFO","random","",""
"cert_compression","numerique.gouv.fr/51.68.121.50","443","INFO","N/A","",""
"clientAuth","numerique.gouv.fr/51.68.121.50","443","INFO","none","",""
"cert_numbers","numerique.gouv.fr/51.68.121.50","443","INFO","1","",""
"cert_signatureAlgorithm","numerique.gouv.fr/51.68.121.50","443","OK","SHA256 with RSA","",""
"cert_keySize","numerique.gouv.fr/51.68.121.50","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","numerique.gouv.fr/51.68.121.50","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","numerique.gouv.fr/51.68.121.50","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","numerique.gouv.fr/51.68.121.50","443","INFO","03DFF13FBA2E097B343E392DE77F6AB0497B","",""
"cert_serialNumberLen","numerique.gouv.fr/51.68.121.50","443","INFO","18","",""
"cert_fingerprintSHA1","numerique.gouv.fr/51.68.121.50","443","INFO","7690872F63472F8F02F4F2DE19C432DD3FE3CE49","",""
"cert_fingerprintSHA256","numerique.gouv.fr/51.68.121.50","443","INFO","7A5941762D290E8F5C96ED037F121A2203FCA95FCE49F3A7FCAAD08D269E605F","",""
"cert","numerique.gouv.fr/51.68.121.50","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBzCCA++gAwIBAgISA9/xP7ouCXs0Pjkt539qsEl7MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAxMDUxNjM2NTRaFw0yNDA0MDQxNjM2NTNaMBwxGjAYBgNVBAMTEW51bWVyaXF1ZS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAw7HBDcqb/oxCNImQUVJ1ubtCCYKahFNm9FdHpHZF5Ai48yCKVX5mvrVNbRUPe5Uwza2HQilzURAmfIZJ3CgqjhUPhgB6n3BV/MhF8wMvRzj/RLo8T0GUSg0hDFOn/hyKF5VgPyi/o/Rqai9vvvMcK0khXD6Syj1RDXif5wOrJIi5iyP8/7rjLbRbRJr5DzYuvLi5a7GlKLJRZVHhHCtfSvS/QYrPSVa5MmjtTH5qSGbi+3mmnW76vfvGC2DFCBPE5pxOGVx2S5zWcUfG+iAhqBpm+wL1kbMhcyGrDl5EpXDFWPLKo0dVIs3XNkA+/Dupps8OmCQ1WlUJmRs9Dgf52QIDAQABo4ICKzCCAicwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSrD2eDXsGrAp2qe8zwz5FwhyG5KDAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzAzBgNVHREELDAqghFudW1lcmlxdWUuZ291di5mcoIVd3d3Lm51bWVyaXF1ZS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHcAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGM2rMEKgAABAMASDBGAiEA/BiCfrfleZZp7qEe06K8wPiJx38jBfIzePGjiK8GWpcCIQCpxkMLxfLUedZmKKsrG+qRPpNum+Ckz9x+k72/K2BdFAB2AEiw42vapkc0D+VqAvqdMOscUgHLVt0sgdm7v6s52IRzAAABjNqzBdAAAAQDAEcwRQIhAN263V2ZEsrmG2L0lEiqYCZYNR8T3t+ftpTTT1YLSEWCAiBJYCz/VUYoW8lLkNOUofoE+f2LC96SCwYgnWzfcwSE+DANBgkqhkiG9w0BAQsFAAOCAQEAfTOoniqxo1KQZJmaBW4aHd3MIG3KAK2QfSk3Ghf8NX6cvvwjTwpaHgLTGhF4++TUOEM8jVjRrVGR4LAxqWJMG+O/1IL4k+2FcSpNzRQy1kRzOQG7XNpozMRuQ2dpBK5ZJUtC/iYwlXXQLPWy/O7h1+9jbbamFQDHv69e1ZdBhxGEEsh+ge1ajFapApyDz5/1JnIXsW6J1eLqECPMyiRsqJR+Gq8678MuLjrDHXn/JqcQnfPJfgGzaWk81qvi9JYfbfg02IPrYYTE8jlC/7nhhnqc6Vua3cJhDjdmuQP8Oxi6NyY1pv/8QdVeiO5cdN3eGcpwNDVgNOD7y2f4q83/CQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","numerique.gouv.fr/51.68.121.50","443","OK","numerique.gouv.fr","",""
"cert_commonName_wo_SNI","numerique.gouv.fr/51.68.121.50","443","INFO","numerique.gouv.fr","",""
"cert_subjectAltName","numerique.gouv.fr/51.68.121.50","443","INFO","numerique.gouv.fr www.numerique.gouv.fr","",""
"cert_trust","numerique.gouv.fr/51.68.121.50","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","numerique.gouv.fr/51.68.121.50","443","OK","passed.","",""
"cert_certificatePolicies_EV","numerique.gouv.fr/51.68.121.50","443","INFO","no","",""
"cert_expirationStatus","numerique.gouv.fr/51.68.121.50","443","OK","82 >= 30 days","",""
"cert_notBefore","numerique.gouv.fr/51.68.121.50","443","INFO","2024-01-05 16:36","",""
"cert_notAfter","numerique.gouv.fr/51.68.121.50","443","OK","2024-04-04 16:36","",""
"cert_extlifeSpan","numerique.gouv.fr/51.68.121.50","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","numerique.gouv.fr/51.68.121.50","443","INFO","not present","",""
"cert_crlDistributionPoints","numerique.gouv.fr/51.68.121.50","443","INFO","--","",""
"cert_ocspURL","numerique.gouv.fr/51.68.121.50","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","numerique.gouv.fr/51.68.121.50","443","LOW","not offered","",""
"cert_mustStapleExtension","numerique.gouv.fr/51.68.121.50","443","INFO","--","",""
"DNS_CAArecord","numerique.gouv.fr/51.68.121.50","443","LOW","--","",""
"certificate_transparency","numerique.gouv.fr/51.68.121.50","443","OK","yes (certificate extension)","",""
"certs_countServer","numerique.gouv.fr/51.68.121.50","443","INFO","3","",""
"certs_list_ordering_problem","numerique.gouv.fr/51.68.121.50","443","INFO","no","",""
"cert_caIssuers","numerique.gouv.fr/51.68.121.50","443","INFO","R3 (Let's Encrypt from US)","",""
