"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","oise.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","oise.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","oise.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","oise.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","oise.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","oise.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","oise.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","oise.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","oise.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","oise.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","oise.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","oise.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","oise.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","oise.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","oise.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","oise.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","oise.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","oise.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","oise.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","oise.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","oise.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","oise.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","oise.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","oise.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","oise.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","oise.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","oise.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","oise.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","oise.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","oise.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","oise.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","oise.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","oise.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","oise.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","oise.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","oise.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","oise.gouv.fr/77.159.252.140","443","INFO","4BAE531F83E640EA3EC7B6333D76C053","",""
"cert_serialNumberLen","oise.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","oise.gouv.fr/77.159.252.140","443","INFO","9AFFDB33C433206D485E8D1863CD6D99E53E0E02","",""
"cert_fingerprintSHA256","oise.gouv.fr/77.159.252.140","443","INFO","FCE72C3A6E84B3796EAE90EA44AC6A6078347E9489FD6E77CD49498E7FE13902","",""
