"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","onpe.gouv.fr/46.18.135.249","443","INFO","HTTP","",""
"pre_128cipher","onpe.gouv.fr/46.18.135.249","443","INFO","No 128 cipher limit bug","",""
"SSLv2","onpe.gouv.fr/46.18.135.249","443","OK","not offered","",""
"SSLv3","onpe.gouv.fr/46.18.135.249","443","OK","not offered","",""
"TLS1","onpe.gouv.fr/46.18.135.249","443","INFO","not offered","",""
"TLS1_1","onpe.gouv.fr/46.18.135.249","443","INFO","not offered","",""
"TLS1_2","onpe.gouv.fr/46.18.135.249","443","OK","offered","",""
"TLS1_3","onpe.gouv.fr/46.18.135.249","443","OK","offered with final","",""
"ALPN","onpe.gouv.fr/46.18.135.249","443","INFO","http/1.1","",""
"cipherlist_NULL","onpe.gouv.fr/46.18.135.249","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","onpe.gouv.fr/46.18.135.249","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","onpe.gouv.fr/46.18.135.249","443","OK","not offered","","CWE-327"
"cipherlist_LOW","onpe.gouv.fr/46.18.135.249","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","onpe.gouv.fr/46.18.135.249","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","onpe.gouv.fr/46.18.135.249","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","onpe.gouv.fr/46.18.135.249","443","INFO","not offered","",""
"cipherlist_STRONG_FS","onpe.gouv.fr/46.18.135.249","443","OK","offered","",""
"cipher_order-tls1_2","onpe.gouv.fr/46.18.135.249","443","OK","server","",""
"cipherorder_TLSv1_2","onpe.gouv.fr/46.18.135.249","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","onpe.gouv.fr/46.18.135.249","443","OK","server","",""
"FS","onpe.gouv.fr/46.18.135.249","443","OK","offered","",""
"FS_ciphers","onpe.gouv.fr/46.18.135.249","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","onpe.gouv.fr/46.18.135.249","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","onpe.gouv.fr/46.18.135.249","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","onpe.gouv.fr/46.18.135.249","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","onpe.gouv.fr/46.18.135.249","443","INFO","yes","",""
"sessionresumption_ticket","onpe.gouv.fr/46.18.135.249","443","INFO","supported","",""
"sessionresumption_ID","onpe.gouv.fr/46.18.135.249","443","INFO","supported","",""
"TLS_timestamp","onpe.gouv.fr/46.18.135.249","443","INFO","random","",""
"certificate_compression","onpe.gouv.fr/46.18.135.249","443","INFO","none","",""
"clientAuth","onpe.gouv.fr/46.18.135.249","443","INFO","none","",""
"cert_numbers","onpe.gouv.fr/46.18.135.249","443","INFO","1","",""
"cert_signatureAlgorithm","onpe.gouv.fr/46.18.135.249","443","OK","SHA256 with RSA","",""
"cert_keySize","onpe.gouv.fr/46.18.135.249","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","onpe.gouv.fr/46.18.135.249","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","onpe.gouv.fr/46.18.135.249","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","onpe.gouv.fr/46.18.135.249","443","INFO","0426DDA3E444CEEAB09FC918D5AA77F744C0","",""
"cert_serialNumberLen","onpe.gouv.fr/46.18.135.249","443","INFO","18","",""
"cert_fingerprintSHA1","onpe.gouv.fr/46.18.135.249","443","INFO","53F8A8571ABB27E358DF37A83273E1D25AAE312E","",""
"cert_fingerprintSHA256","onpe.gouv.fr/46.18.135.249","443","INFO","99E95EE7F1071518D768F283CAB4BA4C3E6AAA2A241A7C46155AFD73C13CE2BB","",""
"cert","onpe.gouv.fr/46.18.135.249","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFzCCA/+gAwIBAgISBCbdo+REzuqwn8kY1ap390TAMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAxMTUwNTQwMjlaFw0yNDA0MTQwNTQwMjhaMBcxFTATBgNVBAMTDG9ucGUuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMAaA5SavStD/R6jetn3wSN4KVFuiKH8BGt9UOsHQ0ZxHis74NKLKfLsY6NAZ0wKgeFVnKdtjRlJaBMIhDriNCfr/CU8h1U3XTZoSLJt+DcRi03n0KECp2gCB1n2sofa6EnaWN/w7M4jhTAPlPxEt/Pzplk0lwc03u9iqVMaBLGq4mMvUbNDXP2Gf+iRQ8wh5SINfSF3ShPhWqa6VVfhwv9Y30JM7uToGnPa+3Jwv6YG3vk/+ib7yK04MF3EjeFKeeVhrthw/WrUhHvv9H6Qr4C1VSRnEE7AOFyKRvACyPGGJVaXj/1eiWKfPj9QuYUc+rALimQd7cOffi5B2A1aT7cCAwEAAaOCAkAwggI8MA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU9nv3VLfrDrlj38PXa58ybUE87fswHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wSQYDVR0RBEIwQIIMb25lZC5nb3V2LmZyggxvbnBlLmdvdXYuZnKCEHd3dy5vbmVkLmdvdXYuZnKCEHd3dy5vbnBlLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdwB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAY0L2agxAAAEAwBIMEYCIQD3oemZJHLuLhQNE+/1PC5LS7RTZOHnmu/Ztlz6KRwFMgIhAPh6RuXz8Bg0yuf8hQQVjurESnCOCnckbeNFAB5KNW1aAHUAouK/1h7eLy8HoNZObTen3GVDsMa1LqLat4r4mm31F9gAAAGNC9mp/QAABAMARjBEAiA+kSpY0QwGw0L9/m+PrvwPO0fC+r5e+XACArptcJ97eAIgXZmrkeVFI3ce9ldip5fRS4PxhDgdNF6roPCHT5jvHx8wDQYJKoZIhvcNAQELBQADggEBAE/K89CnCOdZQKk0YzoWO9p4USzj3kuQSHGz86cT6sAZKVfEtKfjE+vJISr16l3O2TUlRoHkl+hjJ63AYBXjkc6RXT1jEN3S3ul+OO2Qri+q99lTvR0yW6cTr5TnO8ZhMR1c1TlKlEuvjdvPYOEMqFUpnW1f071BJG+fdCYomh3sE123J0vUnirwT858vwxIrOO6Se+DFyLU2/CJ88u+lEO3abwb4rMcS5w2X7ZEy0Hct4iapSNzSF/fkmD+avh6Iahj/vrF5O2wm4MVsp1CP3TvtZS1mN7yzjYOYPKSAH9Zfvry/lKkbdw2u2VipQ39rjMTwhRqrrrsY7Kvv8uNx7k=\n-----END CERTIFICATE-----","",""
"cert_commonName","onpe.gouv.fr/46.18.135.249","443","OK","onpe.gouv.fr","",""
"cert_commonName_wo_SNI","onpe.gouv.fr/46.18.135.249","443","INFO","allo119.gouv.fr","",""
"cert_subjectAltName","onpe.gouv.fr/46.18.135.249","443","INFO","oned.gouv.fr onpe.gouv.fr www.oned.gouv.fr www.onpe.gouv.fr","",""
"cert_trust","onpe.gouv.fr/46.18.135.249","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","onpe.gouv.fr/46.18.135.249","443","OK","passed.","",""
"cert_certificatePolicies_EV","onpe.gouv.fr/46.18.135.249","443","INFO","no","",""
"cert_expirationStatus","onpe.gouv.fr/46.18.135.249","443","OK","57 >= 30 days","",""
"cert_notBefore","onpe.gouv.fr/46.18.135.249","443","INFO","2024-01-15 05:40","",""
"cert_notAfter","onpe.gouv.fr/46.18.135.249","443","OK","2024-04-14 05:40","",""
"cert_extlifeSpan","onpe.gouv.fr/46.18.135.249","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","onpe.gouv.fr/46.18.135.249","443","INFO","not present","",""
"cert_crlDistributionPoints","onpe.gouv.fr/46.18.135.249","443","INFO","--","",""
"cert_ocspURL","onpe.gouv.fr/46.18.135.249","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","onpe.gouv.fr/46.18.135.249","443","LOW","not offered","",""
"cert_mustStapleExtension","onpe.gouv.fr/46.18.135.249","443","INFO","--","",""
"DNS_CAArecord","onpe.gouv.fr/46.18.135.249","443","LOW","--","",""
"certificate_transparency","onpe.gouv.fr/46.18.135.249","443","OK","yes (certificate extension)","",""
"certs_countServer","onpe.gouv.fr/46.18.135.249","443","INFO","3","",""
"certs_list_ordering_problem","onpe.gouv.fr/46.18.135.249","443","INFO","no","",""
"cert_caIssuers","onpe.gouv.fr/46.18.135.249","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","onpe.gouv.fr/46.18.135.249","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAwWhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cPR5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdxsxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8ZutmNHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxgZ3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG/kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQBgt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6WPTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wlikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQzCkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BImlJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1OyK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90IdshCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6ZvMldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqXnLRbwHOoq7hHwg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","onpe.gouv.fr/46.18.135.249","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","onpe.gouv.fr/46.18.135.249","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","onpe.gouv.fr/46.18.135.249","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","onpe.gouv.fr/46.18.135.249","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","onpe.gouv.fr/46.18.135.249","443","INFO","R3 <-- ISRG Root X1","",""
