"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","orne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","orne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","orne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","orne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","orne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","orne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","orne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","orne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","orne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","orne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","orne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","orne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","orne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","orne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","orne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","orne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","orne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","orne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","orne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","orne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","orne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","orne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","orne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","orne.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","orne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","orne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","orne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","orne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","orne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","orne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","orne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","orne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","orne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","orne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","orne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","orne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","orne.gouv.fr/77.159.252.140","443","INFO","AB27F30F4397D7E2D3DF75FE1FE5762F","",""
"cert_serialNumberLen","orne.gouv.fr/77.159.252.140","443","INFO","16","",""
