"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","HTTP","",""
"pre_128cipher","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","not offered","",""
"SSLv3","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","not offered","",""
"TLS1","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","not offered","",""
"TLS1_1","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","not offered","",""
"TLS1_2","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","offered","",""
"TLS1_3","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","http/1.1","",""
"cipherlist_NULL","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","participation-citoyenne.gouv.fr/51.68.27.186","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","not offered","",""
"cipherlist_STRONG_FS","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","offered","",""
"cipher_order-tls1_2","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","server","",""
"cipherorder_TLSv1_2","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","server","",""
"FS","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","offered","",""
"FS_ciphers","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","yes","",""
"sessionresumption_ticket","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","supported","",""
"sessionresumption_ID","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","supported","",""
"TLS_timestamp","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","random","",""
"cert_compression","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","N/A","",""
"clientAuth","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","none","",""
"cert_numbers","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","1","",""
"cert_signatureAlgorithm","participation-citoyenne.gouv.fr/51.68.27.186","443","OK","SHA384 with RSA","",""
"cert_keySize","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","participation-citoyenne.gouv.fr/51.68.27.186","443","INFO","Digital Signature, Key Encipherment","",""
