"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","piste.gouv.fr/137.74.125.233","443","INFO","HTTP","",""
"pre_128cipher","piste.gouv.fr/137.74.125.233","443","INFO","No 128 cipher limit bug","",""
"SSLv2","piste.gouv.fr/137.74.125.233","443","OK","not offered","",""
"SSLv3","piste.gouv.fr/137.74.125.233","443","OK","not offered","",""
"TLS1","piste.gouv.fr/137.74.125.233","443","LOW","offered (deprecated)","",""
"TLS1_1","piste.gouv.fr/137.74.125.233","443","LOW","offered (deprecated)","",""
"TLS1_2","piste.gouv.fr/137.74.125.233","443","OK","offered","",""
"TLS1_3","piste.gouv.fr/137.74.125.233","443","OK","offered with final","",""
"ALPN","piste.gouv.fr/137.74.125.233","443","INFO","not offered","",""
"cipherlist_NULL","piste.gouv.fr/137.74.125.233","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","piste.gouv.fr/137.74.125.233","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","piste.gouv.fr/137.74.125.233","443","OK","not offered","","CWE-327"
"cipherlist_LOW","piste.gouv.fr/137.74.125.233","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","piste.gouv.fr/137.74.125.233","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","piste.gouv.fr/137.74.125.233","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","piste.gouv.fr/137.74.125.233","443","OK","offered","",""
"cipherlist_STRONG_FS","piste.gouv.fr/137.74.125.233","443","OK","offered","",""
"cipher_order-tls1","piste.gouv.fr/137.74.125.233","443","OK","server","",""
"cipherorder_TLSv1","piste.gouv.fr/137.74.125.233","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","piste.gouv.fr/137.74.125.233","443","OK","server","",""
"cipherorder_TLSv1_1","piste.gouv.fr/137.74.125.233","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","piste.gouv.fr/137.74.125.233","443","OK","server","",""
"cipherorder_TLSv1_2","piste.gouv.fr/137.74.125.233","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","piste.gouv.fr/137.74.125.233","443","OK","server","",""
"FS","piste.gouv.fr/137.74.125.233","443","OK","offered","",""
"FS_ciphers","piste.gouv.fr/137.74.125.233","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","piste.gouv.fr/137.74.125.233","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","piste.gouv.fr/137.74.125.233","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","piste.gouv.fr/137.74.125.233","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","piste.gouv.fr/137.74.125.233","443","INFO","yes","",""
"sessionresumption_ticket","piste.gouv.fr/137.74.125.233","443","INFO","not supported","",""
"sessionresumption_ID","piste.gouv.fr/137.74.125.233","443","INFO","not supported","",""
"TLS_timestamp","piste.gouv.fr/137.74.125.233","443","INFO","random","",""
"certificate_compression","piste.gouv.fr/137.74.125.233","443","INFO","none","",""
"clientAuth","piste.gouv.fr/137.74.125.233","443","INFO","none","",""
"cert_numbers","piste.gouv.fr/137.74.125.233","443","INFO","1","",""
"cert_signatureAlgorithm","piste.gouv.fr/137.74.125.233","443","OK","SHA256 with RSA","",""
"cert_keySize","piste.gouv.fr/137.74.125.233","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","piste.gouv.fr/137.74.125.233","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","piste.gouv.fr/137.74.125.233","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","piste.gouv.fr/137.74.125.233","443","INFO","9D38E29228F03358B638756295C8B4B7","",""
"cert_serialNumberLen","piste.gouv.fr/137.74.125.233","443","INFO","16","",""
"cert_fingerprintSHA1","piste.gouv.fr/137.74.125.233","443","INFO","33DF3E1E6A93A2825D813A12374834EF9447C441","",""
"cert_fingerprintSHA256","piste.gouv.fr/137.74.125.233","443","INFO","6E1A65D2723856C4EE97841A3D11258F2FCC05E7D5C1AEBD7FCEE9EF4F6F9419","",""
