"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","portailpro.gouv.fr/145.242.17.12","443","INFO","HTTP","",""
"pre_128cipher","portailpro.gouv.fr/145.242.17.12","443","INFO","No 128 cipher limit bug","",""
"SSLv2","portailpro.gouv.fr/145.242.17.12","443","OK","not offered","",""
"SSLv3","portailpro.gouv.fr/145.242.17.12","443","OK","not offered","",""
"TLS1","portailpro.gouv.fr/145.242.17.12","443","INFO","not offered","",""
"TLS1_1","portailpro.gouv.fr/145.242.17.12","443","INFO","not offered","",""
"TLS1_2","portailpro.gouv.fr/145.242.17.12","443","OK","offered","",""
"TLS1_3","portailpro.gouv.fr/145.242.17.12","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","portailpro.gouv.fr/145.242.17.12","443","INFO","not offered","",""
"cipherlist_NULL","portailpro.gouv.fr/145.242.17.12","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","portailpro.gouv.fr/145.242.17.12","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","portailpro.gouv.fr/145.242.17.12","443","OK","not offered","","CWE-327"
"cipherlist_LOW","portailpro.gouv.fr/145.242.17.12","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","portailpro.gouv.fr/145.242.17.12","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","portailpro.gouv.fr/145.242.17.12","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","portailpro.gouv.fr/145.242.17.12","443","OK","offered","",""
"cipherlist_STRONG_FS","portailpro.gouv.fr/145.242.17.12","443","OK","offered","",""
"cipher_order-tls1_2","portailpro.gouv.fr/145.242.17.12","443","OK","server","",""
"cipherorder_TLSv1_2","portailpro.gouv.fr/145.242.17.12","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","portailpro.gouv.fr/145.242.17.12","443","OK","server","",""
"FS","portailpro.gouv.fr/145.242.17.12","443","OK","offered","",""
"FS_ciphers","portailpro.gouv.fr/145.242.17.12","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","portailpro.gouv.fr/145.242.17.12","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","portailpro.gouv.fr/145.242.17.12","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","portailpro.gouv.fr/145.242.17.12","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","portailpro.gouv.fr/145.242.17.12","443","INFO","yes","",""
"sessionresumption_ticket","portailpro.gouv.fr/145.242.17.12","443","INFO","supported","",""
"sessionresumption_ID","portailpro.gouv.fr/145.242.17.12","443","INFO","supported","",""
"TLS_timestamp","portailpro.gouv.fr/145.242.17.12","443","INFO","random","",""
"cert_compression","portailpro.gouv.fr/145.242.17.12","443","INFO","N/A","",""
"clientAuth","portailpro.gouv.fr/145.242.17.12","443","INFO","none","",""
"cert_numbers","portailpro.gouv.fr/145.242.17.12","443","INFO","1","",""
"cert_signatureAlgorithm","portailpro.gouv.fr/145.242.17.12","443","OK","SHA256 with RSA","",""
"cert_keySize","portailpro.gouv.fr/145.242.17.12","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","portailpro.gouv.fr/145.242.17.12","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","portailpro.gouv.fr/145.242.17.12","443","INFO","TLS Web Server Authentication","",""
