"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","99AF98CF4DD0D561AD7761B565614B6C","",""
"cert_serialNumberLen","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","A65C048635244F2E45EC7DCA781F62D021EC4003","",""
"cert_fingerprintSHA256","pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","9E9675D555A90514A21DF72CF64B9F0A7BA921A6CA1F2513EF979B8ED3B33055","",""
