"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","HTTP","",""
"pre_128cipher","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","No 128 cipher limit bug","",""
"SSLv2","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","not offered","",""
"SSLv3","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","not offered","",""
"TLS1","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","not offered","",""
"TLS1_1","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","not offered","",""
"TLS1_2","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","offered","",""
"TLS1_3","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","not offered","",""
"cipherlist_NULL","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","not offered","","CWE-327"
"cipherlist_LOW","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","retraitesdeletat.gouv.fr/145.242.11.25","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","not offered","",""
"cipherlist_STRONG_FS","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","offered","",""
"cipher_order-tls1_2","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","server","",""
"cipherorder_TLSv1_2","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","server","",""
"FS","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","offered","",""
"FS_ciphers","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","prime256v1","",""
"TLS_extensions","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15'","",""
"TLS_session_ticket","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","yes","",""
"sessionresumption_ticket","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","supported","",""
"sessionresumption_ID","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","supported","",""
"TLS_timestamp","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","off by -1 seconds from your localtime","",""
"cert_compression","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","N/A","",""
"clientAuth","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","none","",""
"cert_numbers","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","1","",""
"cert_signatureAlgorithm","retraitesdeletat.gouv.fr/145.242.11.25","443","OK","SHA256 with RSA","",""
"cert_keySize","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","FD8C88460674E7203A15271A909D7267","",""
"cert_serialNumberLen","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","16","",""
"cert_fingerprintSHA1","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","CF0AB16D2884CACF0F89058D4C14B2483010FAEE","",""
"cert_fingerprintSHA256","retraitesdeletat.gouv.fr/145.242.11.25","443","INFO","1E4246E8245DAE8702FFFE9EE4DC9AE97818C934B60E7BEC98AE0F412A715140","",""
